req_id,domain,source_path,recovered_section,recovered_quote,recovered_assertion,quote_source_lines,section_source_lines,risk_flags,review_decision,review_notes
UA2-00917,user-agent,docs/PRD-代理商体系.md,3.1 代理商层级与权益,自动,自动,3,9,NUMERIC,PENDING,
UA2-00933,user-agent,docs/PRD-代理商体系.md,3.2 代理佣金规则配置,**佣金计算方式**,**佣金计算方式**,20,18,MARKDOWN_OR_PATH;NUMERIC,PENDING,
UA2-00944,user-agent,docs/PRD-代理商体系.md,3.2 代理佣金规则配置,按模型分别设置不同佣金率,按模型分别设置不同佣金率,27,18,NUMERIC,PENDING,
UA2-00945,user-agent,docs/PRD-代理商体系.md,3.2 代理佣金规则配置,精细运营,精细运营,27,18,NUMERIC,PENDING,
UA2-00946,user-agent,docs/PRD-代理商体系.md,3.2 代理佣金规则配置,**规则配置界面**,**规则配置界面**,29,18,MARKDOWN_OR_PATH;NUMERIC,PENDING,
UA2-00947,user-agent,docs/PRD-代理商体系.md,3.2 代理佣金规则配置,**佣金规则变更审计**,**佣金规则变更审计**,48,18,MARKDOWN_OR_PATH;NUMERIC,PENDING,
UA2-00950,user-agent,docs/PRD-代理商体系.md,3.3 代理端仪表盘,**核心指标**,**核心指标**,56,54,MARKDOWN_OR_PATH;NUMERIC,PENDING,
UA2-00966,user-agent,docs/PRD-代理商体系.md,3.3 代理端仪表盘,**瓒嬪娍鍥?*,**瓒嬪娍鍥?*,66,54,MARKDOWN_OR_PATH;NUMERIC;POSSIBLE_COMPOUND;RESIDUAL_ENCODING,PENDING,
UA2-00967,user-agent,docs/PRD-代理商体系.md,3.3 代理端仪表盘,杩?7 澶╁悕涓嬬敤鎴锋秷璐硅秼鍔?,杩?7 澶╁悕涓嬬敤鎴锋秷璐硅秼鍔?,67,54,NUMERIC;POSSIBLE_COMPOUND;RESIDUAL_ENCODING,PENDING,
UA2-00969,user-agent,docs/PRD-代理商体系.md,3.3 代理端仪表盘,客户增长趋势,客户增长趋势,69,54,NUMERIC,PENDING,
UA2-00970,user-agent,docs/PRD-代理商体系.md,3.4 提现管理,**提现流程**,**提现流程**,75,73,MARKDOWN_OR_PATH;NUMERIC,PENDING,
UA2-00971,user-agent,docs/PRD-代理商体系.md,3.4 提现管理,**审核面板信息**,**审核面板信息**,86,73,MARKDOWN_OR_PATH;NUMERIC,PENDING,
UA2-00972,user-agent,docs/PRD-代理商体系.md,3.4 提现管理,**提现限制**,**提现限制**,100,73,MARKDOWN_OR_PATH;NUMERIC,PENDING,
UA2-01007,user-agent,docs/PRD-代理商支撑增强.md,API 接口,GET,GET,99;101;102;134;135;217;220,56;93;130;179;213,NONE_DETECTED,PENDING,
UA2-01022,user-agent,docs/PRD-代理商支撑增强.md,API 接口,浠ｇ悊鍟?,浠ｇ悊鍟?,99;101;102;134;135;217;220,56;93;130;179;213,POSSIBLE_COMPOUND;RESIDUAL_ENCODING,PENDING,
UA2-01027,user-agent,docs/PRD-代理商支撑增强.md,前端变更,"管理后台 -> 新增""客户报备""入口","管理后台 -> 新增""客户报备""入口",71,67;104;140;188;222;247,MARKDOWN_OR_PATH,PENDING,
UA2-01028,user-agent,docs/PRD-代理商支撑增强.md,前端变更,报备列表 + 创建表单 + 审核操作,报备列表 + 创建表单 + 审核操作,71,67;104;140;188;222;247,NONE_DETECTED,PENDING,
UA2-01053,user-agent,docs/PRD-代理商支撑增强.md,API 接口,/api/v1/agent/finance/commission-trends,/api/v1/agent/finance/commission-trends,99,56;93;130;179;213,MARKDOWN_OR_PATH;NUMERIC,PENDING,
UA2-01054,user-agent,docs/PRD-代理商支撑增强.md,API 接口,佣金趋势数据,佣金趋势数据,99,56;93;130;179;213,NONE_DETECTED,PENDING,
UA2-01057,user-agent,docs/PRD-代理商支撑增强.md,API 接口,/api/v1/agent/finance/settlement/:period,/api/v1/agent/finance/settlement/:period,101,56;93;130;179;213,MARKDOWN_OR_PATH;NUMERIC,PENDING,
UA2-01061,user-agent,docs/PRD-代理商支撑增强.md,API 接口,/api/v1/agent/finance/settlement/:period/download,/api/v1/agent/finance/settlement/:period/download,101,56;93;130;179;213,MARKDOWN_OR_PATH;NUMERIC,PENDING,
UA2-01062,user-agent,docs/PRD-代理商支撑增强.md,API 接口,涓嬭浇缁撶畻鍗?PDF,涓嬭浇缁撶畻鍗?PDF,101,56;93;130;179;213,POSSIBLE_COMPOUND;RESIDUAL_ENCODING,PENDING,
UA2-01065,user-agent,docs/PRD-代理商支撑增强.md,API 接口,/api/v1/agent/finance/calendar,/api/v1/agent/finance/calendar,102,56;93;130;179;213,MARKDOWN_OR_PATH;NUMERIC,PENDING,
UA2-01066,user-agent,docs/PRD-代理商支撑增强.md,API 接口,财务日历,财务日历,102,56;93;130;179;213,NONE_DETECTED,PENDING,
UA2-01076,user-agent,docs/PRD-代理商支撑增强.md,功能规格,名下客户按消费金额排序，展示消费总额 / 本月消费 / 调用次数,名下客户按消费金额排序，展示消费总额 / 本月消费 / 调用次数,124,18;82;120;156;203;237,MARKDOWN_OR_PATH,PENDING,
UA2-01081,user-agent,docs/PRD-代理商支撑增强.md,功能规格,客户流失预警,客户流失预警,127,18;82;120;156;203;237,NONE_DETECTED,PENDING,
UA2-01082,user-agent,docs/PRD-代理商支撑增强.md,功能规格,连续 N 天未调用的客户标记预警（默认 14 天）,连续 N 天未调用的客户标记预警（默认 14 天）,127,18;82;120;156;203;237,NUMERIC,PENDING,
UA2-01086,user-agent,docs/PRD-代理商支撑增强.md,API 接口,/api/v1/agent/customers/consumption-ranking,/api/v1/agent/customers/consumption-ranking,134,56;93;130;179;213,MARKDOWN_OR_PATH;NUMERIC,PENDING,
UA2-01087,user-agent,docs/PRD-代理商支撑增强.md,API 接口,客户消费排名,客户消费排名,134,56;93;130;179;213,NONE_DETECTED,PENDING,
UA2-01090,user-agent,docs/PRD-代理商支撑增强.md,API 接口,/api/v1/agent/customers/:userId/consumption-trend,/api/v1/agent/customers/:userId/consumption-trend,135,56;93;130;179;213,MARKDOWN_OR_PATH;NUMERIC,PENDING,
UA2-01091,user-agent,docs/PRD-代理商支撑增强.md,API 接口,客户消费趋势,客户消费趋势,135,56;93;130;179;213,NONE_DETECTED,PENDING,
UA2-01118,user-agent,docs/PRD-代理商支撑增强.md,功能规格,标记已读,标记已读,163,18;82;120;156;203;237,NONE_DETECTED,PENDING,
UA2-01119,user-agent,docs/PRD-代理商支撑增强.md,功能规格,单条标记 / 全部标记已读,单条标记 / 全部标记已读,163,18;82;120;156;203;237,MARKDOWN_OR_PATH,PENDING,
UA2-01133,user-agent,docs/PRD-代理商支撑增强.md,API 接口,标记已读,标记已读,163,56;93;130;179;213,NONE_DETECTED,PENDING,
