req_id,current_source,bad_fields,best_reference_score,reference_lines,reference_quotes,status
UA2-00001,docs/PRD-用户体系.md,source_quote;atomic_assertion,,,,MANUAL_REVIEW
UA2-00004,docs/PRD-用户体系.md,source_quote;atomic_assertion,,,,MANUAL_REVIEW
UA2-00009,docs/PRD-用户体系.md,source_quote;atomic_assertion,,,,MANUAL_REVIEW
UA2-00044,docs/PRD-用户体系.md,source_quote;atomic_assertion,,,,MANUAL_REVIEW
UA2-00049,docs/PRD-用户体系.md,source_quote;atomic_assertion,,,,MANUAL_REVIEW
UA2-00052,docs/PRD-用户体系.md,source_quote;atomic_assertion,,,,MANUAL_REVIEW
UA2-00078,docs/PRD-用户体系.md,source_quote;atomic_assertion,,,,MANUAL_REVIEW
UA2-00083,docs/PRD-用户体系.md,source_quote;atomic_assertion,,,,MANUAL_REVIEW
UA2-00102,docs/PRD-用户体系.md,source_quote;atomic_assertion,,,,MANUAL_REVIEW
UA2-00103,docs/PRD-用户体系.md,source_quote;atomic_assertion,,,,MANUAL_REVIEW
UA2-00104,docs/PRD-用户体系.md,source_quote;atomic_assertion,,,,MANUAL_REVIEW
UA2-00113,docs/PRD-用户体系.md,source_quote;atomic_assertion,,,,MANUAL_REVIEW
UA2-00116,docs/PRD-用户体系.md,source_quote;atomic_assertion,,,,MANUAL_REVIEW
UA2-00117,docs/PRD-用户体系.md,source_quote;atomic_assertion,,,,MANUAL_REVIEW
UA2-00136,docs/PRD-用户体系.md,source_quote;atomic_assertion,,,,MANUAL_REVIEW
UA2-00156,docs/PRD-用户体系.md,source_quote;atomic_assertion,,,,MANUAL_REVIEW
UA2-00158,docs/PRD-用户体系.md,source_quote;atomic_assertion,,,,MANUAL_REVIEW
UA2-00168,docs/PRD-用户体系.md,source_quote;atomic_assertion,,,,MANUAL_REVIEW
UA2-00169,docs/PRD-用户体系.md,source_quote;atomic_assertion,,,,MANUAL_REVIEW
UA2-00170,docs/PRD-用户体系.md,source_quote;atomic_assertion,,,,MANUAL_REVIEW
UA2-00171,docs/PRD-用户体系.md,source_section,,,,MANUAL_REVIEW
UA2-00172,docs/PRD-用户体系.md,source_section,,,,MANUAL_REVIEW
UA2-00173,docs/PRD-用户体系.md,source_section,,,,MANUAL_REVIEW
UA2-00174,docs/PRD-用户体系.md,source_section,,,,MANUAL_REVIEW
UA2-00175,docs/PRD-用户体系.md,source_section,,,,MANUAL_REVIEW
UA2-00176,docs/PRD-用户体系.md,source_section,,,,MANUAL_REVIEW
UA2-00177,docs/PRD-用户体系.md,source_section,,,,MANUAL_REVIEW
UA2-00178,docs/PRD-用户体系.md,source_section,,,,MANUAL_REVIEW
UA2-00179,docs/PRD-用户体系.md,source_section,,,,MANUAL_REVIEW
UA2-00181,docs/PRD-用户体系.md,source_section,,,,MANUAL_REVIEW
UA2-00182,docs/PRD-用户体系.md,source_section,,,,MANUAL_REVIEW
UA2-00184,docs/PRD-用户体系.md,source_section,0.533,137,users 表 → 昵称/余额/角色/VIP,MANUAL_REVIEW_WITH_REFERENCE
UA2-00186,docs/PRD-用户体系.md,source_section,,,,MANUAL_REVIEW
UA2-00187,docs/PRD-用户体系.md,source_section,,,,MANUAL_REVIEW
UA2-00188,docs/PRD-用户体系.md,source_section,,,,MANUAL_REVIEW
UA2-00189,docs/PRD-用户体系.md,source_section,0.542,309,回调成功 → 更新 users.balance → 写入 recharge_logs,MANUAL_REVIEW_WITH_REFERENCE
UA2-00190,docs/PRD-用户体系.md,source_section,,,,MANUAL_REVIEW
UA2-00191,docs/PRD-用户体系.md,source_section,,,,MANUAL_REVIEW
UA2-00192,docs/PRD-用户体系.md,source_section,,,,MANUAL_REVIEW
UA2-00193,docs/PRD-用户体系.md,source_section,,,,MANUAL_REVIEW
UA2-00194,docs/PRD-用户体系.md,source_section;source_quote;atomic_assertion,,,,MANUAL_REVIEW
UA2-00195,docs/PRD-用户体系.md,source_section,,,,MANUAL_REVIEW
UA2-00196,docs/PRD-用户体系.md,source_section,,,,MANUAL_REVIEW
UA2-00197,docs/PRD-用户体系.md,source_section,,,,MANUAL_REVIEW
UA2-00198,docs/PRD-用户体系.md,source_section,,,,MANUAL_REVIEW
UA2-00199,docs/PRD-用户体系.md,source_section,0.516,267;266;215,call_logs 按月分区 → 查询优化 || 上游：call_logs 表 → 每次 API 调用的完整记录 || call_logs 表 → 记录每次调用的 Key 使用情况,MANUAL_REVIEW_WITH_REFERENCE
UA2-00200,docs/PRD-用户体系.md,source_section,,,,MANUAL_REVIEW
UA2-00201,docs/PRD-用户体系.md,source_section,0.480,171;381;141,- 输入单价 ¥/1K tokens + 输出单价 || 2. 按 `max_tokens` 参数预估最大费用 || 定时轮询（10秒）→ 用 Token 消耗实时更新,MANUAL_REVIEW_WITH_REFERENCE
UA2-00202,docs/PRD-用户体系.md,source_section,,,,MANUAL_REVIEW
UA2-00204,docs/PRD-用户体系.md,source_section,0.476,140,user_quotas 表 → 免费额度,MANUAL_REVIEW_WITH_REFERENCE
UA2-00206,docs/PRD-用户体系.md,source_section,,,,MANUAL_REVIEW
UA2-00207,docs/PRD-用户体系.md,source_section,,,,MANUAL_REVIEW
UA2-00208,docs/PRD-用户体系.md,source_section,,,,MANUAL_REVIEW
UA2-00209,docs/PRD-用户体系.md,source_section,0.632,139,login_history 表 → 上次登录信息,MANUAL_REVIEW_WITH_REFERENCE
UA2-00211,docs/PRD-用户体系.md,source_section,,,,MANUAL_REVIEW
UA2-00212,docs/PRD-用户体系.md,source_section,,,,MANUAL_REVIEW
UA2-00214,docs/PRD-用户体系.md,source_section,,,,MANUAL_REVIEW
