req_id,domain,source_path,source_section,source_quote,category,priority,atomic_assertion,expected_evidence,notes
UA-0001,user,docs/PRD-用户体系.md,2.1.1 角色矩阵,`user` | L2 | 普通用户 | 管理自己的Key、调用API、查看消费,logic,P0,用户角色矩阵必须定义user角色,MISSING,
UA-0002,user,docs/PRD-用户体系.md,2.1.1 角色矩阵,`agent` | L3 | 代理商 | 管理名下用户、查看分佣数据、提现,logic,P0,用户角色矩阵必须定义agent角色,MISSING,
UA-0003,user,docs/PRD-用户体系.md,2.1.1 角色矩阵,`developer` | L2 | 开发者用户 | 同user，额外可查阅开发者文档和代码示例,logic,P1,用户角色矩阵必须定义developer角色,MISSING,
UA-0004,user,docs/PRD-用户体系.md,2.1.2 权限引擎规则,`apikey` | API Key 管理 | 列表 / 创建 / 编辑 / 删除 / 权限配置,logic,P0,资源权限必须包含apikey资源,MISSING,
UA-0005,user,docs/PRD-用户体系.md,2.1.2 权限引擎规则,`self` | 仅自己 | user 只能看到自己的数据,logic,P0,用户数据范围必须支持self范围,MISSING,
UA-0006,user,docs/PRD-用户体系.md,2.1.2 权限引擎规则,`agent_only` | 仅名下关联用户 | agent 只能看到自己名下的用户数据,logic,P0,代理数据范围必须限制为名下用户,MISSING,
UA-0007,user,docs/PRD-用户体系.md,2.1.3 多管理员协作与操作审计,`operator_id` | 操作人用户ID,logic,P0,管理员敏感操作日志必须记录操作人,MISSING,
UA-0008,user,docs/PRD-用户体系.md,2.1.3 多管理员协作与操作审计,`before_value` | 操作前值（敏感操作必填）,logic,P0,管理员敏感操作日志必须记录变更前值,MISSING,
UA-0009,user,docs/PRD-用户体系.md,2.1.3 多管理员协作与操作审计,`after_value` | 操作后值（敏感操作必填）,logic,P0,管理员敏感操作日志必须记录变更后值,MISSING,
UA-0010,user,docs/SPEC-§2-用户体系.md,2.2 用户端仪表盘,账户余额展示,logic,P0,仪表盘必须展示账户余额,MISSING,
UA-0011,user,docs/SPEC-§2-用户体系.md,2.2 用户端仪表盘,账户余额展示，余额低时黄色/红色底色预警,logic,P1,余额低于阈值时必须显示预警底色,MISSING,
UA-0012,user,docs/SPEC-§2-用户体系.md,2.2 用户端仪表盘,今日已用 Token + 剩余免费额度（10 秒轮询刷新）,logic,P1,今日Token用量必须以10秒周期刷新,MISSING,
UA-0013,user,docs/SPEC-§2-用户体系.md,2.2 用户端仪表盘,余额为负（欠费） | 红色显示 `¥-XX.XX`，卡片顶部出现“账户欠费，请立即充值”横幅,logic,P0,余额为负时必须显示欠费横幅,MISSING,
UA-0014,user,docs/SPEC-§2-用户体系.md,2.2 用户端仪表盘,账号被禁用 | 余额卡片不可见，显示“账户已被禁用”,logic,P0,账号被禁用时必须隐藏余额卡片,MISSING,
UA-0015,user,docs/SPEC-§2-用户体系.md,2.2 用户端仪表盘,数据加载失败 | 卡片显示 `--`，右下角灰字“数据加载失败”,logic,P1,仪表盘数据加载失败时必须显示占位符,MISSING,
UA-0016,user,docs/PRD-用户体系.md,2.2.1 仪表盘,数值 > 9999 | 自动换算为 K/M 单位（如 12500 → “12.5K”）,logic,P2,仪表盘数值超过9999时必须使用K/M单位,MISSING,
UA-0017,user,docs/SPEC-§2-用户体系.md,2.3 模型中心,模型名称 + 渠道名称/Logo,logic,P0,模型中心必须展示模型名称和渠道名称,MISSING,
UA-0018,user,docs/SPEC-§2-用户体系.md,2.3 模型中心,搜索框支持按模型名/渠道名模糊搜索,logic,P1,模型中心搜索必须支持按模型名模糊搜索,MISSING,
UA-0019,user,docs/SPEC-§2-用户体系.md,2.3 模型中心,筛选项：渠道（多选）/ 价格范围 / 状态,logic,P1,模型中心必须支持按渠道多选筛选,MISSING,
UA-0020,user,docs/SPEC-§2-用户体系.md,2.3 模型中心,点击模型卡片 → 跳转模型详情页（含能力描述、API 调用示例）,logic,P1,模型详情必须包含API调用示例,MISSING,
UA-0021,user,docs/SPEC-§2-用户体系.md,2.4 API Key管理,创建 Key：输入名称,logic,P0,用户创建Key时必须输入名称,MISSING,
UA-0022,user,docs/SPEC-§2-用户体系.md,2.4 API Key管理,创建 Key：…选择可用的模型范围,logic,P0,用户创建Key时必须选择模型范围,MISSING,
UA-0023,user,docs/SPEC-§2-用户体系.md,2.4 API Key管理,创建 Key：…设置 QPS/TPM/日调用量限制,logic,P1,用户创建Key时必须可设置QPS限制,MISSING,
UA-0024,user,docs/SPEC-§2-用户体系.md,2.4 API Key管理,权限变更立即生效，不影响正在进行的请求,logic,P0,Key权限变更必须立即生效,MISSING,
UA-0025,user,docs/SPEC-§2-用户体系.md,2.4 API Key管理,过期后 Key 自动失效，返回 403 `key_expired`,logic,P0,Key过期后必须返回403 key_expired,MISSING,
UA-0026,user,docs/SPEC-§2-用户体系.md,2.4 API Key管理,Key 明文存储 | 不存在数据库中，仅存 bcrypt hash；创建时一次性展示,logic,P0,Key明文不得存储在数据库,MISSING,
UA-0027,user,docs/SPEC-§2-用户体系.md,2.4 API Key管理,单个用户 Key 数量上限 | `site_configs.max_keys_per_user`（默认 50 个）,logic,P1,单个用户Key数量必须受配置项限制,MISSING,
UA-0028,user,docs/SPEC-§2-用户体系.md,2.4 API Key管理,删除 Key | 硬删除，不可恢复,logic,P0,删除Key必须不可恢复,MISSING,
UA-0029,user,docs/SPEC-§2-用户体系.md,2.5 调用日志,搜索筛选：按时间范围、模型、状态、Key、IP 搜索,logic,P1,调用日志必须支持按时间范围筛选,MISSING,
UA-0030,user,docs/SPEC-§2-用户体系.md,2.5 调用日志,CSV 导出：将筛选后的日志列表导出为 CSV 文件,logic,P1,调用日志必须支持CSV导出,MISSING,
UA-0031,user,docs/SPEC-§2-用户体系.md,2.5 调用日志,详情抽屉：…展示完整请求/响应内容,logic,P1,调用日志详情必须展示完整请求内容,MISSING,
UA-0032,user,docs/SPEC-§2-用户体系.md,2.7 充值,支付方式：支付宝/微信支付（对接第三方支付网关）,logic,P0,用户充值必须支持支付宝,MISSING,
UA-0033,user,docs/SPEC-§2-用户体系.md,2.7 充值,充值到账：支付成功后实时到账,logic,P0,支付成功后充值必须实时到账,MISSING,
UA-0034,user,docs/SPEC-§2-用户体系.md,2.7 充值,充值到账：…触发站内通知 + 可选邮件通知,logic,P1,支付成功后必须触发站内通知,MISSING,
UA-0035,user,docs/SPEC-§2-用户体系.md,2.7 充值,大额充值预警：单笔 > ¥10000 触发人工审核（finance 角色确认）,logic,P0,单笔充值超过10000元必须人工审核,MISSING,
UA-0036,user,docs/SPEC-§2-用户体系.md,2.11 用户端账号注销,用户提交注销后，账号状态标记为 `deleting`，仍可登录查看进度,logic,P0,账户注销申请必须将账号状态标记为deleting,MISSING,
UA-0037,user,docs/SPEC-§2-用户体系.md,2.11 用户端账号注销,管理员审核通过后状态为 `deleted`，无法再登录,logic,P0,注销审核通过后必须将账号状态置为deleted,MISSING,
UA-0038,user,docs/SPEC-§2-用户体系.md,2.11 用户端账号注销,POST | /api/v1/account/deletion-request/cancel | 撤回注销申请,logic,P1,注销申请必须支持撤回,MISSING,
UA-0039,user,docs/SPEC-§2-用户体系.md,2.11 用户端账号注销,余额 > 0 时注销 | 弹窗提示流程：“注销后余额将清零，建议先消费或联系客服退款”,logic,P0,余额大于0时注销必须提示余额处理风险,MISSING,
UA-0040,user,docs/SPEC-§2-用户体系.md,2.11 用户端账号注销,代理身份用户注销 | 需先清理解除代理关系,logic,P0,注销中的代理身份用户必须先解除代理关系,MISSING,
UA-0041,user,docs/SPEC-§2-用户体系.md,2.10 安全,关闭：需验证当前 2FA 验证码 + 密码确认,logic,P0,用户关闭2FA必须验证当前验证码,MISSING,
UA-0042,user,docs/SPEC-§2-用户体系.md,2.10 安全,关闭：需验证当前 2FA 验证码 + 密码确认,logic,P0,用户关闭2FA必须验证密码,MISSING,
UA-0043,user,docs/PRODUCT-DESIGN-PRINCIPLES.md,P1 ??????,每个页面标题旁有 `[?]` 按钮,logic,P1,用户端功能页面标题旁必须提供页面帮助,MISSING,
UA-0044,user,docs/PRODUCT-DESIGN-PRINCIPLES.md,P1 ??????,每个功能操作按钮/入口旁有 `[?]` 图标,logic,P1,用户端每个操作入口旁必须提供按钮帮助,MISSING,
UA-0045,agent,docs/PRD-代理商体系.md,3.1 代理商层级与权益,预备代理 | …不能提现,logic,P0,预备代理不得提现,MISSING,
UA-0046,agent,docs/PRD-代理商体系.md,3.1 代理商层级与权益,一级代理 | …默认佣金率 10%,logic,P0,一级代理默认佣金率必须为10%,MISSING,
UA-0047,agent,docs/PRD-代理商体系.md,3.1 代理商层级与权益,高级代理 | …阶梯佣金 | 12-18%,logic,P1,高级代理默认佣金率范围必须为12%至18%,MISSING,
UA-0048,agent,docs/SPEC-§3-代理商体系.md,3.1 边界条件,代理降级 | 连续 3 个月消费未达标，系统自动降级（可配置）,logic,P1,代理降级规则必须基于连续3个月未达标,MISSING,
UA-0049,agent,docs/SPEC-§3-代理商体系.md,3.1 边界条件,等级变更只影响之后产生的佣金,logic,P0,代理降级不得影响既有佣金,MISSING,
UA-0050,agent,docs/SPEC-§3-代理商体系.md,3.2 佣金规则配置,保存前预览效果：输入预估月消费，系统模拟佣金金额,logic,P1,佣金规则保存前必须提供模拟预览,MISSING,
