req_id,domain,source_path,bad_fields,recovered_section,recovered_quote,recovered_assertion,quote_source_lines,section_source_lines,conversion,compound_after_recovery,status,basis
UA2-03402,user-agent,docs/SPEC-§22-用户端体验增强.md,source_section,API 接口,interface PlaygroundResponse {,interface PlaygroundResponse {,909,140;268;331;446;506;624;829;1139;1306;1488;1694;1776;1870;1938;1993,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-03404,user-agent,docs/SPEC-§22-用户端体验增强.md,source_section,API 接口,choices: Array<{,choices: Array<{,911,140;268;331;446;506;624;829;1139;1306;1488;1694;1776;1870;1938;1993,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-03405,user-agent,docs/SPEC-§22-用户端体验增强.md,source_section,API 接口,index: number;,index: number;,912,140;268;331;446;506;624;829;1139;1306;1488;1694;1776;1870;1938;1993,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-03406,user-agent,docs/SPEC-§22-用户端体验增强.md,source_section,API 接口,message: { role: string;,message: { role: string;,913,140;268;331;446;506;624;829;1139;1306;1488;1694;1776;1870;1938;1993,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-03407,user-agent,docs/SPEC-§22-用户端体验增强.md,source_section,API 接口,content: string };,content: string };,913,140;268;331;446;506;624;829;1139;1306;1488;1694;1776;1870;1938;1993,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-03408,user-agent,docs/SPEC-§22-用户端体验增强.md,source_section,API 接口,finish_reason: string;,finish_reason: string;,914,140;268;331;446;506;624;829;1139;1306;1488;1694;1776;1870;1938;1993,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-03409,user-agent,docs/SPEC-§22-用户端体验增强.md,source_section,API 接口,usage: { prompt_tokens: number;,usage: { prompt_tokens: number;,916,140;268;331;446;506;624;829;1139;1306;1488;1694;1776;1870;1938;1993,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-03410,user-agent,docs/SPEC-§22-用户端体验增强.md,source_section,API 接口,completion_tokens: number;,completion_tokens: number;,916,140;268;331;446;506;624;829;1139;1306;1488;1694;1776;1870;1938;1993,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-03411,user-agent,docs/SPEC-§22-用户端体验增强.md,source_section,API 接口,total_tokens: number };,total_tokens: number };,916,140;268;331;446;506;624;829;1139;1306;1488;1694;1776;1870;1938;1993,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-03412,user-agent,docs/SPEC-§22-用户端体验增强.md,source_section,API 接口,interface PlaygroundError {,interface PlaygroundError {,919,140;268;331;446;506;624;829;1139;1306;1488;1694;1776;1870;1938;1993,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
