req_id,source_section,bad_fields,reversible_source_lines,status
UA2-00001,2.1 瑙掕壊涓庢潈闄愪綋绯|,source_quote;atomic_assertion,,MANUAL_REVIEW
UA2-00004,2.1.1 瑙掕壊鐭╅樀,source_quote;atomic_assertion,,MANUAL_REVIEW
UA2-00009,2.1.1 瑙掕壊鐭╅樀,source_quote;atomic_assertion,,MANUAL_REVIEW
UA2-00044,2.1.1 瑙掕壊鐭╅樀,source_quote;atomic_assertion,,MANUAL_REVIEW
UA2-00049,2.1.1 瑙掕壊鐭╅樀,source_quote;atomic_assertion,,MANUAL_REVIEW
UA2-00052,2.1.2 鏉冮檺寮曟搸瑙勬牸,source_quote;atomic_assertion,23:gb18030->utf8 x1,CANDIDATE
UA2-00078,2.1.2 鏉冮檺寮曟搸瑙勬牸,source_quote;atomic_assertion,35:gb18030->utf8 x1;93:gb18030->utf8 x1,CANDIDATE
UA2-00083,2.1.2 鏉冮檺寮曟搸瑙勬牸,source_quote;atomic_assertion,,MANUAL_REVIEW
UA2-00102,2.1.2 鏉冮檺寮曟搸瑙勬牸,source_quote;atomic_assertion,,MANUAL_REVIEW
UA2-00103,2.1.2 鏉冮檺寮曟搸瑙勬牸,source_quote;atomic_assertion,,MANUAL_REVIEW
UA2-00104,2.1.2 鏉冮檺寮曟搸瑙勬牸,source_quote;atomic_assertion,,MANUAL_REVIEW
UA2-00113,2.1.2 鏉冮檺寮曟搸瑙勬牸,source_quote;atomic_assertion,,MANUAL_REVIEW
UA2-00116,2.1.2 鏉冮檺寮曟搸瑙勬牸,source_quote;atomic_assertion,,MANUAL_REVIEW
UA2-00117,2.1.2 鏉冮檺寮曟搸瑙勬牸,source_quote;atomic_assertion,,MANUAL_REVIEW
UA2-00136,2.1.3 澶氱鐞嗗憳鍗忎綔涓庢搷浣滃璁|,source_quote;atomic_assertion,,MANUAL_REVIEW
UA2-00156,2.1.3 澶氱鐞嗗憳鍗忎綔涓庢搷浣滃璁|,source_quote;atomic_assertion,,MANUAL_REVIEW
UA2-00158,2.1.3 澶氱鐞嗗憳鍗忎綔涓庢搷浣滃璁|,source_quote;atomic_assertion,,MANUAL_REVIEW
UA2-00168,2.1.3 澶氱鐞嗗憳鍗忎綔涓庢搷浣滃璁|,source_quote;atomic_assertion,,MANUAL_REVIEW
