req_id,domain,source_path,source_section,source_quote,category,priority,atomic_assertion,expected_evidence,notes
REQ-CF-00001,core-finance,docs/PRD-核心引擎.md,5.1 鏅鸿兘璺敱绯荤粺,馃搸 **娣卞寲鍙傝€?*锛歔`docs/ref-5.1-routing.md`](ref-5.1-routing.md) 鈥?鍚矾鐢辩瓥鐣ョ鐞?API銆佺啍鏂櫒閰嶇疆鎸佷箙鍖栵紙鏂拌〃 Schema锛夈€佹墜鍔ㄨ鐩栨満鍒躲€佽矾鐢辨帹鑽愬垎鏋愮紦瀛樸€佽矾鐢遍厤缃鐞嗛〉闈㈠畬鏁磋鏍硷紙鍥涗釜椤电鐨勭粍浠?Props锛夈€佷氦鍙夊紩鐢ㄤ笌璋冪敤閾?,api,P1,馃搸 **娣卞寲鍙傝€?*锛歔`docs/ref-5.1-routing.md`](ref-5.1-routing.md) 鈥?鍚矾鐢辩瓥鐣ョ鐞?API銆佺啍鏂櫒閰嶇疆鎸佷箙鍖栵紙鏂拌〃 Schema锛夈€佹墜鍔ㄨ鐩栨満鍒躲€佽矾鐢辨帹鑽愬垎鏋愮紦瀛樸€佽矾鐢遍厤缃鐞嗛〉闈㈠畬鏁磋鏍硷紙鍥涗釜椤电鐨勭粍浠?Props锛夈€佷氦鍙夊紩鐢ㄤ笌璋冪敤閾?,源码路径+行号、对应运行测试或数据库/Redis/队列证据,N/A：原审计记录未提供补充依据；待复核源码、测试及运行证据。
REQ-CF-00002,core-finance,docs/PRD-核心引擎.md,5.1.2 璐熻浇鍧囪　绠楁硶锛圥2锛?,#### 5.1.2 璐熻浇鍧囪　绠楁硶锛圥2锛?,logic,P1,**鍔犳潈杞瀹炵幇**,源码路径+行号、对应运行测试或数据库/Redis/队列证据,N/A：原审计记录未提供补充依据；待复核源码、测试及运行证据。
REQ-CF-00003,core-finance,docs/PRD-核心引擎.md,5.1.2 璐熻浇鍧囪　绠楁硶锛圥2锛?,#### 5.1.2 璐熻浇鍧囪　绠楁硶锛圥2锛?,logic,P1,**鏈€灏戣繛鎺ヤ紭鍏?*,源码路径+行号、对应运行测试或数据库/Redis/队列证据,N/A：原审计记录未提供补充依据；待复核源码、测试及运行证据。
REQ-CF-00004,core-finance,docs/PRD-核心引擎.md,5.1.3 鐔旀柇鍣ㄧ姸鎬佹満锛圥2锛?,#### 5.1.3 鐔旀柇鍣ㄧ姸鎬佹満锛圥2锛?,logic,P1,**鐔旀柇閰嶇疆鍙傛暟**,源码路径+行号、对应运行测试或数据库/Redis/队列证据,N/A：原审计记录未提供补充依据；待复核源码、测试及运行证据。
REQ-CF-00005,core-finance,docs/PRD-核心引擎.md,5.1.3 鐔旀柇鍣ㄧ姸鎬佹満锛圥2锛?,#### 5.1.3 鐔旀柇鍣ㄧ姸鎬佹満锛圥2锛?,logic,P1,鍙傛暟应满足：澶辫触闃堝€?,源码路径+行号、对应运行测试或数据库/Redis/队列证据,表格单元格已拆为单一字段断言
REQ-CF-00006,core-finance,docs/PRD-核心引擎.md,5.1.3 鐔旀柇鍣ㄧ姸鎬佹満锛圥2锛?,#### 5.1.3 鐔旀柇鍣ㄧ姸鎬佹満锛圥2锛?,logic,P1,榛樿鍊?应满足：5 娆?,源码路径+行号、对应运行测试或数据库/Redis/队列证据,表格单元格已拆为单一字段断言
REQ-CF-00007,core-finance,docs/PRD-核心引擎.md,5.1.3 鐔旀柇鍣ㄧ姸鎬佹満锛圥2锛?,#### 5.1.3 鐔旀柇鍣ㄧ姸鎬佹満锛圥2锛?,logic,P1,璇存槑应满足：杩炵画澶辫触娆℃暟杈炬鍊艰Е鍙戝崐寮€,源码路径+行号、对应运行测试或数据库/Redis/队列证据,表格单元格已拆为单一字段断言
REQ-CF-00008,core-finance,docs/PRD-核心引擎.md,5.1.3 鐔旀柇鍣ㄧ姸鎬佹満锛圥2锛?,#### 5.1.3 鐔旀柇鍣ㄧ姸鎬佹満锛圥2锛?,logic,P1,鍙傛暟应满足：鐔旀柇瓒呮椂,源码路径+行号、对应运行测试或数据库/Redis/队列证据,表格单元格已拆为单一字段断言
REQ-CF-00009,core-finance,docs/PRD-核心引擎.md,5.1.3 鐔旀柇鍣ㄧ姸鎬佹満锛圥2锛?,#### 5.1.3 鐔旀柇鍣ㄧ姸鎬佹満锛圥2锛?,logic,P1,榛樿鍊?应满足：30 绉?,源码路径+行号、对应运行测试或数据库/Redis/队列证据,表格单元格已拆为单一字段断言
REQ-CF-00010,core-finance,docs/PRD-核心引擎.md,5.1.3 鐔旀柇鍣ㄧ姸鎬佹満锛圥2锛?,#### 5.1.3 鐔旀柇鍣ㄧ姸鎬佹満锛圥2锛?,logic,P1,璇存槑应满足：鍏ㄥ紑鐘舵€佷笅绛夊緟澶氫箙杩涘叆鍗婂紑,源码路径+行号、对应运行测试或数据库/Redis/队列证据,表格单元格已拆为单一字段断言
