req_id,domain,source_path,bad_fields,current_source_line,current_heading,current_source_context,source_line_readability,atomic_assertion_original,review_action,review_status,reviewer_note
UA2-00001,user-agent,docs/PRD-用户体系.md,source_quote;atomic_assertion,4,2: ### 2.1 瑙掕壊涓庢潈闄愪綋绯|,> 馃搸 **娣卞寲鍙傝€*锛歔`docs/ref-2.1-roles-permissions.md`](ref-2.1-roles-permissions.md) 鈥鍚Bitset 鏉冮檺瀹氫箟锛0 椤癸級銆佸唴缃鑹叉潈闄愮煩闃点€佹潈闄愯绠椾紭鍏堢骇銆丄PI 鎺ュ彛銆佷腑闂翠欢浣跨敤璇存槑,CORRUPTED,馃搸 **娣卞寲鍙傝€*锛歔`docs/ref-2.1-roles-permissions.md`](ref-2.1-roles-permissions.md) 鈥鍚Bitset 鏉冮檺瀹氫箟锛0 椤癸級銆佸唴缃鑹叉潈闄愮煩闃点€佹潈闄愯绠椾紭鍏堢骇銆丄PI 鎺ュ彛銆佷腑闂翠欢浣跨敤璇存槑,重摘可读 source_quote；确认 source_section；必要时拆分 atomic_assertion；不能沿用乱码行,OPEN,
UA2-00004,user-agent,docs/PRD-用户体系.md,source_quote;atomic_assertion,10,6: #### 2.1.1 瑙掕壊鐭╅樀,| `super_admin` | L5 | 骞冲彴鎷ユ湁鑰鍒涘浜|| 鍏ㄩ儴鏉冮檺锛屼笉鍙浠讳綍浜虹鐞|| 1-3 浜|| 鍒涘浜恒€丆TO |,CORRUPTED,鍏ㄩ儴鏉冮檺锛屼笉鍙浠讳綍浜虹鐞,重摘可读 source_quote；确认 source_section；必要时拆分 atomic_assertion；不能沿用乱码行,OPEN,
UA2-00009,user-agent,docs/PRD-用户体系.md,source_quote;atomic_assertion,11,6: #### 2.1.1 瑙掕壊鐭╅樀,| `admin` | L4 | 杩愯惀绠＄悊鍛|| 闄よ储鍔℃斁娆绯荤粺瀵嗛挜澶栫殑鍏ㄩ儴绠＄悊鏉冮檺 | 鎸夐渶 | 鏃ュ父杩愯惀璐熻矗浜||,CORRUPTED,闄よ储鍔℃斁娆绯荤粺瀵嗛挜澶栫殑鍏ㄩ儴绠＄悊鏉冮檺,重摘可读 source_quote；确认 source_section；必要时拆分 atomic_assertion；不能沿用乱码行,OPEN,
UA2-00044,user-agent,docs/PRD-用户体系.md,source_quote;atomic_assertion,18,6: #### 2.1.1 瑙掕壊鐭╅樀,| `user` | L2 | 鏅€氱敤鎴|| 绠＄悊鑷繁鐨Key銆佽皟鐢API銆佹煡鐪嬫秷璐|| 涓嶉檺 | 寮€鍙戣€||,CORRUPTED,绠＄悊鑷繁鐨Key銆佽皟鐢API銆佹煡鐪嬫秷璐,重摘可读 source_quote；确认 source_section；必要时拆分 atomic_assertion；不能沿用乱码行,OPEN,
UA2-00049,user-agent,docs/PRD-用户体系.md,source_quote;atomic_assertion,19,6: #### 2.1.1 瑙掕壊鐭╅樀,| `developer` | L2 | 寮€鍙戣€呯敤鎴|| 鍚user锛岄澶栧彲鏌ョ湅寮€鍙戣€呮枃妗ｅ拰浠ｇ爜绀轰緥 | 涓嶉檺 | 闆嗘垚寮€鍙戣€||,CORRUPTED,鍚user锛岄澶栧彲鏌ョ湅寮€鍙戣€呮枃妗ｅ拰浠ｇ爜绀轰緥,重摘可读 source_quote；确认 source_section；必要时拆分 atomic_assertion；不能沿用乱码行,OPEN,
UA2-00052,user-agent,docs/PRD-用户体系.md,source_quote;atomic_assertion,23,21: #### 2.1.2 鏉冮檺寮曟搸瑙勬牸,**璧勬簮缁村害**锛堟寜妯″潡鍒掑垎锛夛細,CORRUPTED,**璧勬簮缁村害**锛堟寜妯″潡鍒掑垎锛夛細,重摘可读 source_quote；确认 source_section；必要时拆分 atomic_assertion；不能沿用乱码行,OPEN,
UA2-00078,user-agent,docs/PRD-用户体系.md,source_quote;atomic_assertion,35,21: #### 2.1.2 鏉冮檺寮曟搸瑙勬牸,| `config` | 绯荤粺閰嶇疆 | 鍙傛暟 / 鐗堟湰 / 绔欑偣 / 鐜 |,CORRUPTED,绯荤粺閰嶇疆,重摘可读 source_quote；确认 source_section；必要时拆分 atomic_assertion；不能沿用乱码行,OPEN,
UA2-00083,user-agent,docs/PRD-用户体系.md,source_quote;atomic_assertion,38,21: #### 2.1.2 鏉冮檺寮曟搸瑙勬牸,**鎿嶄綔缁村害**锛堟瘡涓祫婧愮嫭绔嬶級锛|,CORRUPTED,**鎿嶄綔缁村害**锛堟瘡涓祫婧愮嫭绔嬶級锛|,重摘可读 source_quote；确认 source_section；必要时拆分 atomic_assertion；不能沿用乱码行,OPEN,
UA2-00102,user-agent,docs/PRD-用户体系.md,source_quote;atomic_assertion,47,21: #### 2.1.2 鏉冮檺寮曟搸瑙勬牸,| `audit` | 瀹℃牳 | 瀹℃牳鎿嶄綔锛堟彁鐜瀹炲悕/缁撶畻锛墊,CORRUPTED,| `audit` | 瀹℃牳 | 瀹℃牳鎿嶄綔锛堟彁鐜瀹炲悕/缁撶畻锛墊,重摘可读 source_quote；确认 source_section；必要时拆分 atomic_assertion；不能沿用乱码行,OPEN,
UA2-00103,user-agent,docs/PRD-用户体系.md,source_quote;atomic_assertion,48,21: #### 2.1.2 鏉冮檺寮曟搸瑙勬牸,| `operate` | 鎿嶄綔 | 鐗规畩鎿嶄綔锛堢鐢ㄧ敤鎴璋冩暣浣欓锛墊,CORRUPTED,| `operate` | 鎿嶄綔 | 鐗规畩鎿嶄綔锛堢鐢ㄧ敤鎴璋冩暣浣欓锛墊,重摘可读 source_quote；确认 source_section；必要时拆分 atomic_assertion；不能沿用乱码行,OPEN,
