req_id,domain,source_path,bad_fields,recovered_section,recovered_quote,recovered_assertion,quote_source_lines,section_source_lines,conversion,compound_after_recovery,status,basis,source_section_context,source_quote_context,section_check,quote_check,assertion_check,format_risk_check,review_decision,review_notes
UA2-06360,user-agent,docs/ref-11.6-quote-contract.md,source_section,1. 报价管理,鎬婚噾棰?,鎬婚噾棰?,120,17,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,17: ### 1. 鎶ヤ环绠＄悊,"120: | totalAmount | decimal(12,2) | 鎬婚噾棰?|",PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-06367,user-agent,docs/ref-11.6-quote-contract.md,source_section;source_quote;atomic_assertion,1. 报价管理,附加说明,附加说明,28,17,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,17: ### 1. 鎶ヤ环绠＄悊,28: | 澶囨敞 | 闄勫姞璇存槑 |,PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-06368,user-agent,docs/ref-11.6-quote-contract.md,source_section,1. 报价管理,**鎶ヤ环鍗曠姸鎬佹祦杞?*,**鎶ヤ环鍗曠姸鎬佹祦杞?*,30,17,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,17: ### 1. 鎶ヤ环绠＄悊,30: **鎶ヤ环鍗曠姸鎬佹祦杞?*,PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-06370,user-agent,docs/ref-11.6-quote-contract.md,source_section,1. 报价管理,说明,说明,61;93,17,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,17: ### 1. 鎶ヤ环绠＄悊,"61: | 鍙橀噺 | 璇存槑 | 绀轰緥鍊?|
93: | 鏂瑰紡 | 璇存槑 |",PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-06372,user-agent,docs/ref-11.6-quote-contract.md,source_section,1. 报价管理,draft,draft,123;157,17,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,17: ### 1. 鎶ヤ环绠＄悊,"123: | status | enum | draft/pending_approval/approved/rejected/sent/accepted/expired |
157: | status | enum | draft/pending_approval/approved/signed/expired/terminated |",PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-06375,user-agent,docs/ref-11.6-quote-contract.md,source_section,1. 报价管理,pending_approval,pending_approval,123;157,17,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,17: ### 1. 鎶ヤ环绠＄悊,"123: | status | enum | draft/pending_approval/approved/rejected/sent/accepted/expired |
157: | status | enum | draft/pending_approval/approved/signed/expired/terminated |",PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-06378,user-agent,docs/ref-11.6-quote-contract.md,source_section,1. 报价管理,approved,approved,86;123;157,17,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,17: ### 1. 鎶ヤ环绠＄悊,"86: | approved | 瀹℃壒閫氳繃锛屽緟绛剧讲 |
123: | status | enum | draft/pending_approval/approved/rejected/sent/accepted/expired |
157: | status | enum | draft/pending_approval/approved/signed/expired/terminated |",PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-06379,user-agent,docs/ref-11.6-quote-contract.md,source_section;source_quote;atomic_assertion,1. 报价管理,审批通过,审批通过,86,17,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,17: ### 1. 鎶ヤ环绠＄悊,86: | approved | 瀹℃壒閫氳繃锛屽緟绛剧讲 |,PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-06381,user-agent,docs/ref-11.6-quote-contract.md,source_section,1. 报价管理,rejected,rejected,34;42;78;123,17,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,17: ### 1. 鎶ヤ环绠＄悊,"34:               鈹?                    鈹?                     鈹?              鈹斺攢鈹€鈫?rejected          鈹斺攢鈹€鈫?expired           鈹?                                                           鈹斺攢鈹€鈫?expired
42: | rejected | 瀹℃壒椹冲洖 | 鏌ョ湅椹冲洖鍘熷洜锛屼慨鏀瑰悗閲嶆柊鎻愪氦 |
78:               鈹?                    鈹?                     鈹?              鈹斺攢鈹€鈫?rejected          鈹?                     鈹?                                     鈹斺攢鈹€鈫?expired           鈹?                                                            鈹斺攢鈹€鈫?terminated
123: | status | enum | draft/pending_approval/approved/rejected/sent/accepted/expired |",PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-06383,user-agent,docs/ref-11.6-quote-contract.md,source_section;source_quote;atomic_assertion,1. 报价管理,查看驳回原因，修改后重新提交,查看驳回原因，修改后重新提交,42,17,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,17: ### 1. 鎶ヤ环绠＄悊,42: | rejected | 瀹℃壒椹冲洖 | 鏌ョ湅椹冲洖鍘熷洜锛屼慨鏀瑰悗閲嶆柊鎻愪氦 |,PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-06384,user-agent,docs/ref-11.6-quote-contract.md,source_section,1. 报价管理,sent,sent,43;123,17,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,17: ### 1. 鎶ヤ环绠＄悊,"43: | sent | 宸插彂閫佺粰瀹㈡埛 | 鏍囪涓哄凡鎺ュ彈 / 杩囨湡 |
123: | status | enum | draft/pending_approval/approved/rejected/sent/accepted/expired |",PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-06385,user-agent,docs/ref-11.6-quote-contract.md,source_section;source_quote;atomic_assertion,1. 报价管理,已发送给客户,已发送给客户,43,17,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,17: ### 1. 鎶ヤ环绠＄悊,43: | sent | 宸插彂閫佺粰瀹㈡埛 | 鏍囪涓哄凡鎺ュ彈 / 杩囨湡 |,PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-06386,user-agent,docs/ref-11.6-quote-contract.md,source_section;source_quote;atomic_assertion,1. 报价管理,标记为已接受 / 过期,标记为已接受 / 过期,43,17,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,17: ### 1. 鎶ヤ环绠＄悊,43: | sent | 宸插彂閫佺粰瀹㈡埛 | 鏍囪涓哄凡鎺ュ彈 / 杩囨湡 |,PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-06387,user-agent,docs/ref-11.6-quote-contract.md,source_section,1. 报价管理,accepted,accepted,123,17,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,17: ### 1. 鎶ヤ环绠＄悊,123: | status | enum | draft/pending_approval/approved/rejected/sent/accepted/expired |,PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-06390,user-agent,docs/ref-11.6-quote-contract.md,source_section,1. 报价管理,expired,expired,34;78;79;88;123;157;280,17,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,17: ### 1. 鎶ヤ环绠＄悊,"34:               鈹?                    鈹?                     鈹?              鈹斺攢鈹€鈫?rejected          鈹斺攢鈹€鈫?expired           鈹?                                                           鈹斺攢鈹€鈫?expired
78:               鈹?                    鈹?                     鈹?              鈹斺攢鈹€鈫?rejected          鈹?                     鈹?                                     鈹斺攢鈹€鈫?expired           鈹?                                                            鈹斺攢鈹€鈫?terminated
79:                                                                     鈹?                                                                    鈹斺攢鈹€鈫?expired
88: | expired | 鍚堝悓鍒版湡 |
123: | status | enum | draft/pending_approval/approved/rejected/sent/accepted/expired |
157: | status | enum | draft/pending_approval/approved/signed/expired/terminated |
280:   expiringSoon: ContractSummary[]; // 30/15/7 澶?  expired: ContractSummary[];",PENDING,PENDING,PENDING,PENDING,PENDING,
