req_id,domain,requirement_source,source_section,page_logic_artifact,status,evidence_basis,classification
REQ-CF-00001,core-finance,docs/PRD-核心引擎.md,5.1 鏅鸿兘璺敱绯荤粺,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00002,core-finance,docs/PRD-核心引擎.md,(section text withheld: canonical source_section contains encoding damage),,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00003,core-finance,docs/PRD-核心引擎.md,(section text withheld: canonical source_section contains encoding damage),,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00004,core-finance,docs/PRD-核心引擎.md,(section text withheld: canonical source_section contains encoding damage),,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00005,core-finance,docs/PRD-核心引擎.md,(section text withheld: canonical source_section contains encoding damage),,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00006,core-finance,docs/PRD-核心引擎.md,(section text withheld: canonical source_section contains encoding damage),,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00007,core-finance,docs/PRD-核心引擎.md,(section text withheld: canonical source_section contains encoding damage),,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00008,core-finance,docs/PRD-核心引擎.md,(section text withheld: canonical source_section contains encoding damage),,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00009,core-finance,docs/PRD-核心引擎.md,(section text withheld: canonical source_section contains encoding damage),,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00010,core-finance,docs/PRD-核心引擎.md,(section text withheld: canonical source_section contains encoding damage),,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00011,core-finance,docs/PRD-核心引擎.md,(section text withheld: canonical source_section contains encoding damage),,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00012,core-finance,docs/PRD-核心引擎.md,(section text withheld: canonical source_section contains encoding damage),,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00013,core-finance,docs/PRD-核心引擎.md,(section text withheld: canonical source_section contains encoding damage),,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00014,core-finance,docs/PRD-核心引擎.md,(section text withheld: canonical source_section contains encoding damage),,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00015,core-finance,docs/PRD-核心引擎.md,(section text withheld: canonical source_section contains encoding damage),,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00016,core-finance,docs/PRD-核心引擎.md,(section text withheld: canonical source_section contains encoding damage),,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00017,core-finance,docs/PRD-核心引擎.md,(section text withheld: canonical source_section contains encoding damage),,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00018,core-finance,docs/PRD-核心引擎.md,(section text withheld: canonical source_section contains encoding damage),,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00019,core-finance,docs/PRD-核心引擎.md,(section text withheld: canonical source_section contains encoding damage),,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00020,core-finance,docs/PRD-核心引擎.md,(section text withheld: canonical source_section contains encoding damage),,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00021,core-finance,docs/PRD-核心引擎.md,(section text withheld: canonical source_section contains encoding damage),,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00022,core-finance,docs/PRD-核心引擎.md,(section text withheld: canonical source_section contains encoding damage),,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00023,core-finance,docs/PRD-核心引擎.md,(section text withheld: canonical source_section contains encoding damage),,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00024,core-finance,docs/PRD-核心引擎.md,(section text withheld: canonical source_section contains encoding damage),,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00025,core-finance,docs/PRD-核心引擎.md,(section text withheld: canonical source_section contains encoding damage),,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00026,core-finance,docs/PRD-核心引擎.md,(section text withheld: canonical source_section contains encoding damage),,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00027,core-finance,docs/PRD-核心引擎.md,(section text withheld: canonical source_section contains encoding damage),,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00028,core-finance,docs/PRD-核心引擎.md,(section text withheld: canonical source_section contains encoding damage),,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00029,core-finance,docs/PRD-核心引擎.md,5.2 璁¤垂涓庣粨绠楃簿鍖?,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00030,core-finance,docs/PRD-核心引擎.md,5.2 璁¤垂涓庣粨绠楃簿鍖?,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00031,core-finance,docs/PRD-核心引擎.md,5.2.1 浠锋牸灞傜骇涓庝紭鍏堢骇,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00032,core-finance,docs/PRD-核心引擎.md,5.2.1 浠锋牸灞傜骇涓庝紭鍏堢骇,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00033,core-finance,docs/PRD-核心引擎.md,5.2.1 浠锋牸灞傜骇涓庝紭鍏堢骇,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00034,core-finance,docs/PRD-核心引擎.md,5.2.1 浠锋牸灞傜骇涓庝紭鍏堢骇,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00035,core-finance,docs/PRD-核心引擎.md,5.2.1 浠锋牸灞傜骇涓庝紭鍏堢骇,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00036,core-finance,docs/PRD-核心引擎.md,5.2.1 浠锋牸灞傜骇涓庝紭鍏堢骇,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
