req_id,domain,source_path,bad_fields,recovered_section,recovered_quote,recovered_assertion,quote_source_lines,section_source_lines,conversion,compound_after_recovery,status,basis
UA2-00917,user-agent,docs/PRD-代理商体系.md,source_quote;atomic_assertion,3.1 代理商层级与权益,自动,自动,3,9,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-00933,user-agent,docs/PRD-代理商体系.md,source_section,3.2 代理佣金规则配置,**佣金计算方式**,**佣金计算方式**,20,18,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-00944,user-agent,docs/PRD-代理商体系.md,source_section;source_quote;atomic_assertion,3.2 代理佣金规则配置,按模型分别设置不同佣金率,按模型分别设置不同佣金率,27,18,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-00945,user-agent,docs/PRD-代理商体系.md,source_section;source_quote;atomic_assertion,3.2 代理佣金规则配置,精细运营,精细运营,27,18,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-00946,user-agent,docs/PRD-代理商体系.md,source_section;source_quote;atomic_assertion,3.2 代理佣金规则配置,**规则配置界面**,**规则配置界面**,29,18,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-00947,user-agent,docs/PRD-代理商体系.md,source_section;source_quote;atomic_assertion,3.2 代理佣金规则配置,**佣金规则变更审计**,**佣金规则变更审计**,48,18,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-00950,user-agent,docs/PRD-代理商体系.md,source_section,3.3 代理端仪表盘,**核心指标**,**核心指标**,56,54,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-00966,user-agent,docs/PRD-代理商体系.md,source_section,3.3 代理端仪表盘,**瓒嬪娍鍥?*,**瓒嬪娍鍥?*,66,54,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-00967,user-agent,docs/PRD-代理商体系.md,source_section,3.3 代理端仪表盘,杩?7 澶╁悕涓嬬敤鎴锋秷璐硅秼鍔?,杩?7 澶╁悕涓嬬敤鎴锋秷璐硅秼鍔?,67,54,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-00969,user-agent,docs/PRD-代理商体系.md,source_section,3.3 代理端仪表盘,客户增长趋势,客户增长趋势,69,54,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-00970,user-agent,docs/PRD-代理商体系.md,source_section,3.4 提现管理,**提现流程**,**提现流程**,75,73,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-00971,user-agent,docs/PRD-代理商体系.md,source_section,3.4 提现管理,**审核面板信息**,**审核面板信息**,86,73,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-00972,user-agent,docs/PRD-代理商体系.md,source_section,3.4 提现管理,**提现限制**,**提现限制**,100,73,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
