req_id,domain,current_source,archive_source,suspect_fields,exact_archive_fields,recovery_status
REQ-CF-00001,core-finance,docs/PRD-核心引擎.md,docs/_archive/DRD-核心引擎.md,source_section;source_quote;atomic_assertion,,MANUAL_REVIEW
REQ-CF-00002,core-finance,docs/PRD-核心引擎.md,docs/_archive/DRD-核心引擎.md,source_section;source_quote,,MANUAL_REVIEW
REQ-CF-00003,core-finance,docs/PRD-核心引擎.md,docs/_archive/DRD-核心引擎.md,source_section;source_quote,,MANUAL_REVIEW
REQ-CF-00004,core-finance,docs/PRD-核心引擎.md,docs/_archive/DRD-核心引擎.md,source_section;source_quote,,MANUAL_REVIEW
REQ-CF-00005,core-finance,docs/PRD-核心引擎.md,docs/_archive/DRD-核心引擎.md,source_section;source_quote,,MANUAL_REVIEW
REQ-CF-00006,core-finance,docs/PRD-核心引擎.md,docs/_archive/DRD-核心引擎.md,source_section;source_quote,,MANUAL_REVIEW
REQ-CF-00007,core-finance,docs/PRD-核心引擎.md,docs/_archive/DRD-核心引擎.md,source_section;source_quote,,MANUAL_REVIEW
REQ-CF-00008,core-finance,docs/PRD-核心引擎.md,docs/_archive/DRD-核心引擎.md,source_section;source_quote,,MANUAL_REVIEW
REQ-CF-00009,core-finance,docs/PRD-核心引擎.md,docs/_archive/DRD-核心引擎.md,source_section;source_quote,,MANUAL_REVIEW
REQ-CF-00010,core-finance,docs/PRD-核心引擎.md,docs/_archive/DRD-核心引擎.md,source_section;source_quote,,MANUAL_REVIEW
REQ-CF-00011,core-finance,docs/PRD-核心引擎.md,docs/_archive/DRD-核心引擎.md,source_section;source_quote,,MANUAL_REVIEW
REQ-CF-00012,core-finance,docs/PRD-核心引擎.md,docs/_archive/DRD-核心引擎.md,source_section;source_quote,,MANUAL_REVIEW
REQ-CF-00013,core-finance,docs/PRD-核心引擎.md,docs/_archive/DRD-核心引擎.md,source_section;source_quote,,MANUAL_REVIEW
REQ-CF-00014,core-finance,docs/PRD-核心引擎.md,docs/_archive/DRD-核心引擎.md,source_section;source_quote,,MANUAL_REVIEW
REQ-CF-00015,core-finance,docs/PRD-核心引擎.md,docs/_archive/DRD-核心引擎.md,source_section;source_quote,,MANUAL_REVIEW
REQ-CF-00016,core-finance,docs/PRD-核心引擎.md,docs/_archive/DRD-核心引擎.md,source_section;source_quote,,MANUAL_REVIEW
REQ-CF-00017,core-finance,docs/PRD-核心引擎.md,docs/_archive/DRD-核心引擎.md,source_section;source_quote,,MANUAL_REVIEW
REQ-CF-00018,core-finance,docs/PRD-核心引擎.md,docs/_archive/DRD-核心引擎.md,source_section;source_quote,,MANUAL_REVIEW
REQ-CF-00019,core-finance,docs/PRD-核心引擎.md,docs/_archive/DRD-核心引擎.md,source_section;source_quote,,MANUAL_REVIEW
REQ-CF-00020,core-finance,docs/PRD-核心引擎.md,docs/_archive/DRD-核心引擎.md,source_section;source_quote,,MANUAL_REVIEW
REQ-CF-00021,core-finance,docs/PRD-核心引擎.md,docs/_archive/DRD-核心引擎.md,source_section;source_quote,,MANUAL_REVIEW
REQ-CF-00022,core-finance,docs/PRD-核心引擎.md,docs/_archive/DRD-核心引擎.md,source_section;source_quote,,MANUAL_REVIEW
