req_id,domain,source_path,bad_fields,recovered_section,recovered_quote,recovered_assertion,quote_source_lines,section_source_lines,conversion,compound_after_recovery,status,basis
REQ-ADMINPORTAL-00001,admin-portal,docs/PRD-管理后台.md,source_section;source_quote,4.1 总览看板 `/admin`,### 4.1 总览看板 `/admin`,需求规定：**鏍稿績鎸囨爣鍖哄煙**,2,2,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
REQ-ADMINPORTAL-00009,admin-portal,docs/PRD-管理后台.md,source_section;source_quote,4.1 总览看板 `/admin`,### 4.1 总览看板 `/admin`,需求规定：姣涘埄鐜?| (姣涘埄娑?鏀跺叆)脳100 | 1 灏忔椂 | 25.6%,2,2,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
REQ-ADMINPORTAL-00011,admin-portal,docs/PRD-管理后台.md,source_section;source_quote,4.1 总览看板 `/admin`,### 4.1 总览看板 `/admin`,需求规定：**寰呭姙闃熷垪**,2,2,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
REQ-ADMINPORTAL-00012,admin-portal,docs/PRD-管理后台.md,source_section;source_quote,4.1 总览看板 `/admin`,### 4.1 总览看板 `/admin`,需求规定：绫诲瀷 | 鏁版嵁婧?| 灞曠ず鏂瑰紡,2,2,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
REQ-ADMINPORTAL-00016,admin-portal,docs/PRD-管理后台.md,source_section;source_quote,4.1 总览看板 `/admin`,### 4.1 总览看板 `/admin`,需求规定：寰呯‘璁ょ粨绠?| `agent_settlement` status=pending | 鏁板瓧寰界珷,2,2,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
REQ-ADMINPORTAL-00017,admin-portal,docs/PRD-管理后台.md,source_section;source_quote,4.1 总览看板 `/admin`,### 4.1 总览看板 `/admin`,需求规定：寰呮帹閫佸叕鍛?| `announcements` scheduled_at <= now | 鏁板瓧寰界珷,2,2,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
REQ-ADMINPORTAL-00067,admin-portal,docs/PRD-管理后台.md,source_section;source_quote,4.3.2 模型管理 `/admin/models`,#### 4.3.2 模型管理 `/admin/models`,需求规定：渚涘簲鍟?| `DeepSeek`,212,212,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
REQ-ADMINPORTAL-00068,admin-portal,docs/PRD-管理后台.md,source_section;source_quote,4.3.2 模型管理 `/admin/models`,#### 4.3.2 模型管理 `/admin/models`,需求规定：鑳藉姏绫诲瀷 | 鏂囨湰鐢熸垚 / 瀵硅瘽 / 浠ｇ爜 / 鍥惧儚 / 宓屽叆,212,212,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
REQ-ADMINPORTAL-00072,admin-portal,docs/PRD-管理后台.md,source_section;source_quote,4.3.2 模型管理 `/admin/models`,#### 4.3.2 模型管理 `/admin/models`,需求规定：鎿嶄綔 | [缂栬緫] [涓嬬嚎/涓婄嚎],212,212,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
REQ-ADMINPORTAL-00074,admin-portal,docs/PRD-管理后台.md,source_section;source_quote,4.3.2 模型管理 `/admin/models`,#### 4.3.2 模型管理 `/admin/models`,需求规定：**浠锋牸鍙樻洿鍘嗗彶**,212,212,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
