req_id,bad_fields,recovered_section,recovered_quote,recovered_assertion,quote_source_lines,section_source_lines,status
UA2-00001,source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00004,source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00009,source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00044,source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00049,source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00052,source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00078,source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00083,source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00102,source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00103,source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00104,source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00113,source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00116,source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00117,source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00136,source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00156,source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00158,source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00168,source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00169,source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00170,source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00171,source_section,,,,,,MANUAL_REVIEW
UA2-00172,source_section,,,,,,MANUAL_REVIEW
UA2-00173,source_section,,text,text,,,MANUAL_REVIEW
UA2-00174,source_section,,`users.nickname`,`users.nickname`,,,MANUAL_REVIEW
UA2-00175,source_section,,,,,,MANUAL_REVIEW
UA2-00176,source_section,,,,,,MANUAL_REVIEW
UA2-00177,source_section,,,,,,MANUAL_REVIEW
UA2-00178,source_section,,badge,badge,,,MANUAL_REVIEW
UA2-00179,source_section,,`users.role`,`users.role`,,,MANUAL_REVIEW
UA2-00181,source_section,,,,,,MANUAL_REVIEW
UA2-00182,source_section,,,,,,MANUAL_REVIEW
UA2-00184,source_section,,`users.vip_level`,`users.vip_level`,,,MANUAL_REVIEW
UA2-00186,source_section,,,,,,MANUAL_REVIEW
UA2-00187,source_section,,,,,,MANUAL_REVIEW
UA2-00188,source_section,,"decimal(10,2)","decimal(10,2)",,,MANUAL_REVIEW
UA2-00189,source_section,,`users.balance`,`users.balance`,,,MANUAL_REVIEW
UA2-00190,source_section,,,,,,MANUAL_REVIEW
UA2-00191,source_section,,,,,,MANUAL_REVIEW
UA2-00192,source_section,,,,,,MANUAL_REVIEW
UA2-00193,source_section,,color,color,,,MANUAL_REVIEW
UA2-00194,source_section;source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00195,source_section,,,,,,MANUAL_REVIEW
UA2-00196,source_section,,,,,,MANUAL_REVIEW
UA2-00197,source_section,,,,,,MANUAL_REVIEW
UA2-00198,source_section,,bigint,bigint,,,MANUAL_REVIEW
UA2-00199,source_section,,,,,,MANUAL_REVIEW
UA2-00200,source_section,,,,,,MANUAL_REVIEW
UA2-00201,source_section,,0 tokens,0 tokens,,,MANUAL_REVIEW
UA2-00202,source_section,,,,,,MANUAL_REVIEW
UA2-00204,source_section,,,,,,MANUAL_REVIEW
UA2-00206,source_section,,,,,,MANUAL_REVIEW
UA2-00207,source_section,,,,,,MANUAL_REVIEW
UA2-00208,source_section,,datetime,datetime,,,MANUAL_REVIEW
UA2-00209,source_section,,,,,,MANUAL_REVIEW
UA2-00211,source_section,,,,,,MANUAL_REVIEW
UA2-00212,source_section,,,,,,MANUAL_REVIEW
UA2-00214,source_section,,,,,,MANUAL_REVIEW
UA2-00216,source_section,,,,,,MANUAL_REVIEW
UA2-00218,source_section,,,,,,MANUAL_REVIEW
UA2-00220,source_section,,,,,,MANUAL_REVIEW
UA2-00221,source_section,,,,,,MANUAL_REVIEW
UA2-00222,source_section,,,,,,MANUAL_REVIEW
UA2-00223,source_section,,,,,,MANUAL_REVIEW
UA2-00224,source_section,,,,,,MANUAL_REVIEW
UA2-00225,source_section,,,,,,MANUAL_REVIEW
UA2-00226,source_section,,,,,,MANUAL_REVIEW
UA2-00227,source_section,,`site_configs.balance_warn_yellow`,`site_configs.balance_warn_yellow`,,,MANUAL_REVIEW
UA2-00228,source_section,,10.00,10.00,,,MANUAL_REVIEW
UA2-00229,source_section,,,,,,MANUAL_REVIEW
UA2-00230,source_section,,,,,,MANUAL_REVIEW
UA2-00231,source_section,,`site_configs.balance_warn_red`,`site_configs.balance_warn_red`,,,MANUAL_REVIEW
