req_id,domain,source_path,bad_fields,recovered_section,recovered_quote,recovered_assertion,quote_source_lines,section_source_lines,conversion,compound_after_recovery,status,basis
UA2-00290,user-agent,docs/PRD-用户体系.md,source_section,区域 3：额度使用进度条,**杩涘害鏉＄姸鎬侀€昏緫**,**杩涘害鏉＄姸鎬侀€昏緫**,211,199,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-00291,user-agent,docs/PRD-用户体系.md,source_section,区域 3：额度使用进度条,**边界条件**,**边界条件**,151;184;221;1318,199,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-00295,user-agent,docs/PRD-用户体系.md,source_section;source_quote;atomic_assertion,区域 3：额度使用进度条,**运营策略**,**运营策略**,157;227;362,199,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-00296,user-agent,docs/PRD-用户体系.md,source_section;source_quote;atomic_assertion,区域 3：额度使用进度条,额度 > 80% 时：系统自动触发余额不足通知,额度 > 80% 时：系统自动触发余额不足通知,229,199,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-00334,user-agent,docs/PRD-用户体系.md,source_section,区域 6：模型分布明细表,渚涘簲鍟,渚涘簲鍟,314,307,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-00335,user-agent,docs/PRD-用户体系.md,source_section,区域 6：模型分布明细表,灞曠ず渚涘簲鍟Logo 缂╁啓,灞曠ず渚涘簲鍟Logo 缂╁啓,314,307,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-00336,user-agent,docs/PRD-用户体系.md,source_section,区域 6：模型分布明细表,调用次数,调用次数,315,307,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-00337,user-agent,docs/PRD-用户体系.md,source_section,区域 6：模型分布明细表,今日调用次数,今日调用次数,315,307,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-00338,user-agent,docs/PRD-用户体系.md,source_section,区域 6：模型分布明细表,Token 总量,Token 总量,316,307,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-00339,user-agent,docs/PRD-用户体系.md,source_section,区域 6：模型分布明细表,浠婃棩 Token 娑堣€,浠婃棩 Token 娑堣€,316,307,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-00344,user-agent,docs/PRD-用户体系.md,source_section;source_quote;atomic_assertion,区域 6：模型分布明细表,默认按调用量降序排列,默认按调用量降序排列,322,307,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-00507,user-agent,docs/PRD-用户体系.md,source_section,2.2.2 模型中心 `/console/models`,**页面布局**,**页面布局**,630,628,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-00508,user-agent,docs/PRD-用户体系.md,source_section;source_quote;atomic_assertion,2.2.2 模型中心 `/console/models`,**模型卡片字段规格**,**模型卡片字段规格**,649,628,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-00517,user-agent,docs/PRD-用户体系.md,source_section,2.2.2 模型中心 `/console/models`,输入价格,输入价格,656,628,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-00518,user-agent,docs/PRD-用户体系.md,source_section,2.2.2 模型中心 `/console/models`,`vendor_models.input_price`,`vendor_models.input_price`,656,628,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-00519,user-agent,docs/PRD-用户体系.md,source_section,2.2.2 模型中心 `/console/models`,¥0.002/1K tokens,¥0.002/1K tokens,656,628,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
