req_id,domain,source_path,bad_fields,recovered_section,recovered_quote,recovered_assertion,quote_source_lines,section_source_lines,conversion,compound_after_recovery,status,basis,source_section_context,source_quote_context,section_check,quote_check,assertion_check,format_risk_check,review_decision,review_notes
REQ-CF-02596,core-finance,docs/PRD-运营增长模块.md,source_section;source_quote,API 接口,| 方法 | 路径 | 说明 | 权限 |,鏂规硶应满足：`GET`,41;103;174;249;331,39;101;172;247;329,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,"39: #### API 鎺ュ彛
101: #### API 鎺ュ彛
172: #### API 鎺ュ彛
247: #### API 鎺ュ彛
329: #### API 鎺ュ彛","41: | 鏂规硶 | 璺緞 | 璇存槑 | 鏉冮檺 |
103: | 鏂规硶 | 璺緞 | 璇存槑 | 鏉冮檺 |
174: | 鏂规硶 | 璺緞 | 璇存槑 | 鏉冮檺 |
249: | 鏂规硶 | 璺緞 | 璇存槑 | 鏉冮檺 |
331: | 鏂规硶 | 璺緞 | 璇存槑 | 鏉冮檺 |",PENDING,PENDING,PENDING,PENDING,PENDING,
REQ-CF-02638,core-finance,docs/PRD-运营增长模块.md,source_section;source_quote,API 接口,| 方法 | 路径 | 说明 | 权限 |,璇存槑应满足：鎴戠殑浼樻儬鍒稿垪琛?,41;103;174;249;331,39;101;172;247;329,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,"39: #### API 鎺ュ彛
101: #### API 鎺ュ彛
172: #### API 鎺ュ彛
247: #### API 鎺ュ彛
329: #### API 鎺ュ彛","41: | 鏂规硶 | 璺緞 | 璇存槑 | 鏉冮檺 |
103: | 鏂规硶 | 璺緞 | 璇存槑 | 鏉冮檺 |
174: | 鏂规硶 | 璺緞 | 璇存槑 | 鏉冮檺 |
249: | 鏂规硶 | 璺緞 | 璇存槑 | 鏉冮檺 |
331: | 鏂规硶 | 璺緞 | 璇存槑 | 鏉冮檺 |",PENDING,PENDING,PENDING,PENDING,PENDING,
REQ-CF-02642,core-finance,docs/PRD-运营增长模块.md,source_section;source_quote,API 接口,| 方法 | 路径 | 说明 | 权限 |,璇存槑应满足：浣跨敤浼樻儬鍒?,41;103;174;249;331,39;101;172;247;329,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,"39: #### API 鎺ュ彛
101: #### API 鎺ュ彛
172: #### API 鎺ュ彛
247: #### API 鎺ュ彛
329: #### API 鎺ュ彛","41: | 鏂规硶 | 璺緞 | 璇存槑 | 鏉冮檺 |
103: | 鏂规硶 | 璺緞 | 璇存槑 | 鏉冮檺 |
174: | 鏂规硶 | 璺緞 | 璇存槑 | 鏉冮檺 |
249: | 鏂规硶 | 璺緞 | 璇存槑 | 鏉冮檺 |
331: | 鏂规硶 | 璺緞 | 璇存槑 | 鏉冮檺 |",PENDING,PENDING,PENDING,PENDING,PENDING,
REQ-CF-02724,core-finance,docs/PRD-运营增长模块.md,source_section;source_quote,API 接口,| 方法 | 路径 | 说明 | 权限 |,鏂规硶应满足：`PATCH`,41;103;174;249;331,39;101;172;247;329,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,"39: #### API 鎺ュ彛
101: #### API 鎺ュ彛
172: #### API 鎺ュ彛
247: #### API 鎺ュ彛
329: #### API 鎺ュ彛","41: | 鏂规硶 | 璺緞 | 璇存槑 | 鏉冮檺 |
103: | 鏂规硶 | 璺緞 | 璇存槑 | 鏉冮檺 |
174: | 鏂规硶 | 璺緞 | 璇存槑 | 鏉冮檺 |
249: | 鏂规硶 | 璺緞 | 璇存槑 | 鏉冮檺 |
331: | 鏂规硶 | 璺緞 | 璇存槑 | 鏉冮檺 |",PENDING,PENDING,PENDING,PENDING,PENDING,
REQ-CF-02801,core-finance,docs/PRD-运营增长模块.md,source_section;source_quote,API 接口,| 方法 | 路径 | 说明 | 权限 |,鏉冮檺应满足：浠ｇ悊鍟?,41;103;174;249;331,39;101;172;247;329,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,"39: #### API 鎺ュ彛
101: #### API 鎺ュ彛
172: #### API 鎺ュ彛
247: #### API 鎺ュ彛
329: #### API 鎺ュ彛","41: | 鏂规硶 | 璺緞 | 璇存槑 | 鏉冮檺 |
103: | 鏂规硶 | 璺緞 | 璇存槑 | 鏉冮檺 |
174: | 鏂规硶 | 璺緞 | 璇存槑 | 鏉冮檺 |
249: | 鏂规硶 | 璺緞 | 璇存槑 | 鏉冮檺 |
331: | 鏂规硶 | 璺緞 | 璇存槑 | 鏉冮檺 |",PENDING,PENDING,PENDING,PENDING,PENDING,
REQ-CF-02804,core-finance,docs/PRD-运营增长模块.md,source_section;source_quote,API 接口,| 方法 | 路径 | 说明 | 权限 |,璇存槑应满足：閲嶆柊鐢熸垚鎺ㄨ崘鐮?,41;103;174;249;331,39;101;172;247;329,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,"39: #### API 鎺ュ彛
101: #### API 鎺ュ彛
172: #### API 鎺ュ彛
247: #### API 鎺ュ彛
329: #### API 鎺ュ彛","41: | 鏂规硶 | 璺緞 | 璇存槑 | 鏉冮檺 |
103: | 鏂规硶 | 璺緞 | 璇存槑 | 鏉冮檺 |
174: | 鏂规硶 | 璺緞 | 璇存槑 | 鏉冮檺 |
249: | 鏂规硶 | 璺緞 | 璇存槑 | 鏉冮檺 |
331: | 鏂规硶 | 璺緞 | 璇存槑 | 鏉冮檺 |",PENDING,PENDING,PENDING,PENDING,PENDING,
REQ-CF-02806,core-finance,docs/PRD-运营增长模块.md,source_section;source_quote,API 接口,| 方法 | 路径 | 说明 | 权限 |,鏂规硶应满足：`PUT`,41;103;174;249;331,39;101;172;247;329,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,"39: #### API 鎺ュ彛
101: #### API 鎺ュ彛
172: #### API 鎺ュ彛
247: #### API 鎺ュ彛
329: #### API 鎺ュ彛","41: | 鏂规硶 | 璺緞 | 璇存槑 | 鏉冮檺 |
103: | 鏂规硶 | 璺緞 | 璇存槑 | 鏉冮檺 |
174: | 鏂规硶 | 璺緞 | 璇存槑 | 鏉冮檺 |
249: | 鏂规硶 | 璺緞 | 璇存槑 | 鏉冮檺 |
331: | 鏂规硶 | 璺緞 | 璇存槑 | 鏉冮檺 |",PENDING,PENDING,PENDING,PENDING,PENDING,
REQ-CF-02834,core-finance,docs/PRD-运营增长模块.md,source_section,前端变更,| 页面 | 变更 |,椤甸潰应满足：娉ㄥ唽椤甸潰,51;112;185;259;343,49;110;183;257;341,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,"49: #### 鍓嶇鍙樻洿
110: #### 鍓嶇鍙樻洿
183: #### 鍓嶇鍙樻洿
257: #### 鍓嶇鍙樻洿
341: #### 鍓嶇鍙樻洿","51: | 椤甸潰 | 鍙樻洿 |
112: | 椤甸潰 | 鍙樻洿 |
185: | 椤甸潰 | 鍙樻洿 |
259: | 椤甸潰 | 鍙樻洿 |
343: | 椤甸潰 | 鍙樻洿 |",PENDING,PENDING,PENDING,PENDING,PENDING,
REQ-ADMINPORTAL-00586,growth-operations,docs/PRD-运营增长模块.md,source_section,前端变更,| 页面 | 变更 |,需求规定：椤甸潰 | 鍙樻洿,51;112;185;259;343,49;110;183;257;341,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,"49: #### 鍓嶇鍙樻洿
110: #### 鍓嶇鍙樻洿
183: #### 鍓嶇鍙樻洿
257: #### 鍓嶇鍙樻洿
341: #### 鍓嶇鍙樻洿","51: | 椤甸潰 | 鍙樻洿 |
112: | 椤甸潰 | 鍙樻洿 |
185: | 椤甸潰 | 鍙樻洿 |
259: | 椤甸潰 | 鍙樻洿 |
343: | 椤甸潰 | 鍙樻洿 |",PENDING,PENDING,PENDING,PENDING,PENDING,
REQ-ADMINPORTAL-00602,growth-operations,docs/PRD-运营增长模块.md,source_section,前端变更,| 页面 | 变更 |,需求规定：椤甸潰 | 鍙樻洿,51;112;185;259;343,49;110;183;257;341,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,"49: #### 鍓嶇鍙樻洿
110: #### 鍓嶇鍙樻洿
183: #### 鍓嶇鍙樻洿
257: #### 鍓嶇鍙樻洿
341: #### 鍓嶇鍙樻洿","51: | 椤甸潰 | 鍙樻洿 |
112: | 椤甸潰 | 鍙樻洿 |
185: | 椤甸潰 | 鍙樻洿 |
259: | 椤甸潰 | 鍙樻洿 |
343: | 椤甸潰 | 鍙樻洿 |",PENDING,PENDING,PENDING,PENDING,PENDING,
