req_id,domain,source_path,bad_fields,recovered_section,recovered_quote,recovered_assertion,quote_source_lines,section_source_lines,conversion,compound_after_recovery,status,basis,source_section_context,source_quote_context,section_check,quote_check,assertion_check,format_risk_check,review_decision,review_notes
UA2-01007,user-agent,docs/PRD-代理商支撑增强.md,source_section,API 接口,GET,GET,99;101;102;134;135;217;220,56;93;130;179;213,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,"56: #### API 鎺ュ彛
93: #### API 鎺ュ彛
130: #### API 鎺ュ彛
179: #### API 鎺ュ彛
213: #### API 鎺ュ彛","99: | GET | /api/v1/agent/finance/commission-trends | 浣ｉ噾瓒嬪娍鏁版嵁 | 浠ｇ悊鍟?|
101: | GET | /api/v1/agent/finance/settlement/:period/download | 涓嬭浇缁撶畻鍗?PDF | 浠ｇ悊鍟?|
102: | GET | /api/v1/agent/finance/calendar | 璐㈠姟鏃ュ巻 | 浠ｇ悊鍟?|
134: | GET | /api/v1/agent/customers/consumption-ranking | 瀹㈡埛娑堣垂鎺掑悕 | 浠ｇ悊鍟?|
135: | GET | /api/v1/agent/customers/:userId/consumption-trend | 瀹㈡埛娑堣垂瓒嬪娍 | 浠ｇ悊鍟?|
217: | GET | /api/v1/agent/level/benefits | 褰撳墠绛夌骇鏉冪泭 | 浠ｇ悊鍟?|
220: | GET | /api/v1/agent/level/history | 绛夌骇鍙樻洿鍘嗗彶 | 浠ｇ悊鍟?|",PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-01022,user-agent,docs/PRD-代理商支撑增强.md,source_section,API 接口,浠ｇ悊鍟?,浠ｇ悊鍟?,99;101;102;134;135;217;220,56;93;130;179;213,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,"56: #### API 鎺ュ彛
93: #### API 鎺ュ彛
130: #### API 鎺ュ彛
179: #### API 鎺ュ彛
213: #### API 鎺ュ彛","99: | GET | /api/v1/agent/finance/commission-trends | 浣ｉ噾瓒嬪娍鏁版嵁 | 浠ｇ悊鍟?|
101: | GET | /api/v1/agent/finance/settlement/:period/download | 涓嬭浇缁撶畻鍗?PDF | 浠ｇ悊鍟?|
102: | GET | /api/v1/agent/finance/calendar | 璐㈠姟鏃ュ巻 | 浠ｇ悊鍟?|
134: | GET | /api/v1/agent/customers/consumption-ranking | 瀹㈡埛娑堣垂鎺掑悕 | 浠ｇ悊鍟?|
135: | GET | /api/v1/agent/customers/:userId/consumption-trend | 瀹㈡埛娑堣垂瓒嬪娍 | 浠ｇ悊鍟?|
217: | GET | /api/v1/agent/level/benefits | 褰撳墠绛夌骇鏉冪泭 | 浠ｇ悊鍟?|
220: | GET | /api/v1/agent/level/history | 绛夌骇鍙樻洿鍘嗗彶 | 浠ｇ悊鍟?|",PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-01027,user-agent,docs/PRD-代理商支撑增强.md,source_section;source_quote;atomic_assertion,前端变更,"管理后台 -> 新增""客户报备""入口","管理后台 -> 新增""客户报备""入口",71,67;104;140;188;222;247,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,"67: #### 鍓嶇鍙樻洿
104: #### 鍓嶇鍙樻洿
140: #### 鍓嶇鍙樻洿
188: #### 鍓嶇鍙樻洿
222: #### 鍓嶇鍙樻洿
247: #### 鍓嶇鍙樻洿","71: | 绠＄悊鍚庡彴 -> 鏂板""瀹㈡埛鎶ュ""鍏ュ彛 | 鎶ュ鍒楄〃 + 鍒涘缓琛ㄥ崟 + 瀹℃牳鎿嶄綔 |",PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-01028,user-agent,docs/PRD-代理商支撑增强.md,source_section;source_quote;atomic_assertion,前端变更,报备列表 + 创建表单 + 审核操作,报备列表 + 创建表单 + 审核操作,71,67;104;140;188;222;247,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,"67: #### 鍓嶇鍙樻洿
104: #### 鍓嶇鍙樻洿
140: #### 鍓嶇鍙樻洿
188: #### 鍓嶇鍙樻洿
222: #### 鍓嶇鍙樻洿
247: #### 鍓嶇鍙樻洿","71: | 绠＄悊鍚庡彴 -> 鏂板""瀹㈡埛鎶ュ""鍏ュ彛 | 鎶ュ鍒楄〃 + 鍒涘缓琛ㄥ崟 + 瀹℃牳鎿嶄綔 |",PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-01053,user-agent,docs/PRD-代理商支撑增强.md,source_section,API 接口,/api/v1/agent/finance/commission-trends,/api/v1/agent/finance/commission-trends,99,56;93;130;179;213,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,"56: #### API 鎺ュ彛
93: #### API 鎺ュ彛
130: #### API 鎺ュ彛
179: #### API 鎺ュ彛
213: #### API 鎺ュ彛",99: | GET | /api/v1/agent/finance/commission-trends | 浣ｉ噾瓒嬪娍鏁版嵁 | 浠ｇ悊鍟?|,PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-01054,user-agent,docs/PRD-代理商支撑增强.md,source_section,API 接口,佣金趋势数据,佣金趋势数据,99,56;93;130;179;213,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,"56: #### API 鎺ュ彛
93: #### API 鎺ュ彛
130: #### API 鎺ュ彛
179: #### API 鎺ュ彛
213: #### API 鎺ュ彛",99: | GET | /api/v1/agent/finance/commission-trends | 浣ｉ噾瓒嬪娍鏁版嵁 | 浠ｇ悊鍟?|,PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-01057,user-agent,docs/PRD-代理商支撑增强.md,source_section,API 接口,/api/v1/agent/finance/settlement/:period,/api/v1/agent/finance/settlement/:period,101,56;93;130;179;213,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,"56: #### API 鎺ュ彛
93: #### API 鎺ュ彛
130: #### API 鎺ュ彛
179: #### API 鎺ュ彛
213: #### API 鎺ュ彛",101: | GET | /api/v1/agent/finance/settlement/:period/download | 涓嬭浇缁撶畻鍗?PDF | 浠ｇ悊鍟?|,PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-01061,user-agent,docs/PRD-代理商支撑增强.md,source_section,API 接口,/api/v1/agent/finance/settlement/:period/download,/api/v1/agent/finance/settlement/:period/download,101,56;93;130;179;213,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,"56: #### API 鎺ュ彛
93: #### API 鎺ュ彛
130: #### API 鎺ュ彛
179: #### API 鎺ュ彛
213: #### API 鎺ュ彛",101: | GET | /api/v1/agent/finance/settlement/:period/download | 涓嬭浇缁撶畻鍗?PDF | 浠ｇ悊鍟?|,PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-01062,user-agent,docs/PRD-代理商支撑增强.md,source_section,API 接口,涓嬭浇缁撶畻鍗?PDF,涓嬭浇缁撶畻鍗?PDF,101,56;93;130;179;213,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,"56: #### API 鎺ュ彛
93: #### API 鎺ュ彛
130: #### API 鎺ュ彛
179: #### API 鎺ュ彛
213: #### API 鎺ュ彛",101: | GET | /api/v1/agent/finance/settlement/:period/download | 涓嬭浇缁撶畻鍗?PDF | 浠ｇ悊鍟?|,PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-01065,user-agent,docs/PRD-代理商支撑增强.md,source_section,API 接口,/api/v1/agent/finance/calendar,/api/v1/agent/finance/calendar,102,56;93;130;179;213,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,"56: #### API 鎺ュ彛
93: #### API 鎺ュ彛
130: #### API 鎺ュ彛
179: #### API 鎺ュ彛
213: #### API 鎺ュ彛",102: | GET | /api/v1/agent/finance/calendar | 璐㈠姟鏃ュ巻 | 浠ｇ悊鍟?|,PENDING,PENDING,PENDING,PENDING,PENDING,
