req_id,domain,source_path,bad_fields,recovered_section,recovered_quote,recovered_assertion,quote_source_lines,section_source_lines,conversion,compound_after_recovery,status,basis,source_section_context,source_quote_context,section_check,quote_check,assertion_check,format_risk_check,review_decision,review_notes
UA2-06278,user-agent,docs/ref-11.5-performance.md,source_quote;atomic_assertion,娣卞寲鍙傝€冿細搂11.5 涓氱哗鐪嬫澘,**关联**：[`ref-11.1-crm.md`](ref-11.1-crm.md)、[`ref-11.4-opportunity.md`](ref-11.4-opportunity.md)、[`ref-4.2-user-management.md`](ref-4.2-user-management.md),**关联**：[`ref-11.1-crm.md`](ref-11.1-crm.md)、[`ref-11.4-opportunity.md`](ref-11.4-opportunity.md)、[`ref-4.2-user-management.md`](ref-4.2-user-management.md),4,1,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,1: # 娣卞寲鍙傝€冿細搂11.5 涓氱哗鐪嬫澘,4: > **鍏宠仈**锛歔`ref-11.1-crm.md`](ref-11.1-crm.md)銆乕`ref-11.4-opportunity.md`](ref-11.4-opportunity.md)銆乕`ref-4.2-user-management.md`](ref-4.2-user-management.md),PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-06286,user-agent,docs/ref-11.5-performance.md,source_section,1. 本月业绩概览,label: string;,label: string;,136,18,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,18: ### 1. 鏈湀涓氱哗姒傝,136:   label: string; // KPI 鍚嶇О,PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-06287,user-agent,docs/ref-11.5-performance.md,source_section;source_quote;atomic_assertion,1. 本月业绩概览,// KPI 名称,// KPI 名称,136,18,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,18: ### 1. 鏈湀涓氱哗姒傝,136:   label: string; // KPI 鍚嶇О,PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-06295,user-agent,docs/ref-11.5-performance.md,source_section,1. 本月业绩概览,// 涓氱哗瓒嬪娍鍥?interface PerformanceTrendChartProps {,// 涓氱哗瓒嬪娍鍥?interface PerformanceTrendChartProps {,142,18,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,18: ### 1. 鏈湀涓氱哗姒傝,142: // 涓氱哗瓒嬪娍鍥?interface PerformanceTrendChartProps {,PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-06296,user-agent,docs/ref-11.5-performance.md,source_section,1. 本月业绩概览,data: TrendDataPoint[];,data: TrendDataPoint[];,143,18,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,18: ### 1. 鏈湀涓氱哗姒傝,143:   data: TrendDataPoint[];,PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-06297,user-agent,docs/ref-11.5-performance.md,source_section,1. 本月业绩概览,months: number;,months: number;,144,18,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,18: ### 1. 鏈湀涓氱哗姒傝,144:   months: number; // 鏈堜唤鏁帮紝榛樿 6,PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-06298,user-agent,docs/ref-11.5-performance.md,source_section;source_quote;atomic_assertion,1. 本月业绩概览,// 月份数，默认 6,// 月份数，默认 6,144,18,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,18: ### 1. 鏈湀涓氱哗姒傝,144:   months: number; // 鏈堜唤鏁帮紝榛樿 6,PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-06299,user-agent,docs/ref-11.5-performance.md,source_section,1. 本月业绩概览,onMonthChange?: (months: number) => void;,onMonthChange?: (months: number) => void;,145,18,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,18: ### 1. 鏈湀涓氱哗姒傝,145:   onMonthChange?: (months: number) => void;,PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-06300,user-agent,docs/ref-11.5-performance.md,source_section,1. 本月业绩概览,interface TrendDataPoint {,interface TrendDataPoint {,148,18,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,18: ### 1. 鏈湀涓氱哗姒傝,148: interface TrendDataPoint {,PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-06301,user-agent,docs/ref-11.5-performance.md,source_section,1. 本月业绩概览,month: string;,month: string;,149,18,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,18: ### 1. 鏈湀涓氱哗姒傝,"149:   month: string; // ""2026-02""",PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-06302,user-agent,docs/ref-11.5-performance.md,source_section,1. 本月业绩概览,"// ""2026-02""","// ""2026-02""",149,18,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,18: ### 1. 鏈湀涓氱哗姒傝,"149:   month: string; // ""2026-02""",PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-06303,user-agent,docs/ref-11.5-performance.md,source_section,1. 本月业绩概览,newCustomers: number;,newCustomers: number;,150,18,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,18: ### 1. 鏈湀涓氱哗姒傝,150:   newCustomers: number;,PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-06304,user-agent,docs/ref-11.5-performance.md,source_section,1. 本月业绩概览,consumption: number;,consumption: number;,151,18,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,18: ### 1. 鏈湀涓氱哗姒傝,151:   consumption: number;,PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-06305,user-agent,docs/ref-11.5-performance.md,source_section;source_quote;atomic_assertion,1. 本月业绩概览,// 客户构成饼图,// 客户构成饼图,154,18,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,18: ### 1. 鏈湀涓氱哗姒傝,154: // 瀹㈡埛鏋勬垚楗煎浘,PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-06306,user-agent,docs/ref-11.5-performance.md,source_section,1. 本月业绩概览,interface CustomerCompositionPieProps {,interface CustomerCompositionPieProps {,155,18,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,18: ### 1. 鏈湀涓氱哗姒傝,155: interface CustomerCompositionPieProps {,PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-06307,user-agent,docs/ref-11.5-performance.md,source_section,1. 本月业绩概览,data: { status: string;,data: { status: string;,156,18,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,18: ### 1. 鏈湀涓氱哗姒傝,156:   data: { status: string; count: number; percentage: number; }[];,PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-06308,user-agent,docs/ref-11.5-performance.md,source_section,1. 本月业绩概览,count: number;,count: number;,156,18,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,18: ### 1. 鏈湀涓氱哗姒傝,156:   data: { status: string; count: number; percentage: number; }[];,PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-06309,user-agent,docs/ref-11.5-performance.md,source_section,1. 本月业绩概览,percentage: number;,percentage: number;,156,18,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,18: ### 1. 鏈湀涓氱哗姒傝,156:   data: { status: string; count: number; percentage: number; }[];,PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-06312,user-agent,docs/ref-11.5-performance.md,source_section;source_quote;atomic_assertion,1. 本月业绩概览,// 佣金预估,// 佣金预估,159,18,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,18: ### 1. 鏈湀涓氱哗姒傝,159: // 浣ｉ噾棰勪及,PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-06313,user-agent,docs/ref-11.5-performance.md,source_section,1. 本月业绩概览,interface CommissionEstimateProps {,interface CommissionEstimateProps {,160,18,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,18: ### 1. 鏈湀涓氱哗姒傝,160: interface CommissionEstimateProps {,PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-06314,user-agent,docs/ref-11.5-performance.md,source_section,1. 本月业绩概览,currentMonth: number;,currentMonth: number;,161,18,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,18: ### 1. 鏈湀涓氱哗姒傝,161:   currentMonth: number;,PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-06315,user-agent,docs/ref-11.5-performance.md,source_section,1. 本月业绩概览,annualized: number;,annualized: number;,162,18,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,18: ### 1. 鏈湀涓氱哗姒傝,162:   annualized: number;,PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-06316,user-agent,docs/ref-11.5-performance.md,source_section,1. 本月业绩概览,onViewDetails: () => void;,onViewDetails: () => void;,163,18,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,18: ### 1. 鏈湀涓氱哗姒傝,163:   onViewDetails: () => void;,PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-06317,user-agent,docs/ref-11.5-performance.md,source_section,1. 本月业绩概览,// 排名看板,// 排名看板,166,18,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,18: ### 1. 鏈湀涓氱哗姒傝,166: // 鎺掑悕鐪嬫澘,PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-06318,user-agent,docs/ref-11.5-performance.md,source_section,1. 本月业绩概览,interface RankBoardProps {,interface RankBoardProps {,167,18,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,18: ### 1. 鏈湀涓氱哗姒傝,167: interface RankBoardProps {,PENDING,PENDING,PENDING,PENDING,PENDING,
