req_id,domain,source_path,bad_fields,recovered_section,recovered_quote,recovered_assertion,quote_source_lines,section_source_lines,conversion,compound_after_recovery,status,basis,source_section_context,source_quote_context,section_check,quote_check,assertion_check,format_risk_check,review_decision,review_notes
UA2-03006,user-agent,docs/SPEC-§22-用户端体验增强.md,source_quote;atomic_assertion,完成能力 / 展示效果,**Step 1：欢迎与介绍（全屏模态弹窗）**,**Step 1：欢迎与介绍（全屏模态弹窗）**,44,42;235;311;429;484;570;750;977;1216;1415;1662;1735;1840;1920;1969;2032,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,"42: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
235: #### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
311: #### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
429: #### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
484: #### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
570: #### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
750: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
977: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
1216: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
1415: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
1662: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
1735: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
1840: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
1920: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
1969: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
2032: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉",44: **Step 1锛氭杩庝笌浠嬬粛锛堝叏灞忔ā鎬佸脊绐楋級**,PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-03017,user-agent,docs/SPEC-§22-用户端体验增强.md,source_quote;atomic_assertion,完成能力 / 展示效果,创建成功后：,创建成功后：,56,42;235;311;429;484;570;750;977;1216;1415;1662;1735;1840;1920;1969;2032,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,"42: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
235: #### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
311: #### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
429: #### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
484: #### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
570: #### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
750: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
977: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
1216: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
1415: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
1662: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
1735: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
1840: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
1920: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
1969: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
2032: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉",56: - 鍒涘缓鎴愬姛鍚庯細,PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-03018,user-agent,docs/SPEC-§22-用户端体验增强.md,source_quote;atomic_assertion,完成能力 / 展示效果,创建弹窗关闭,创建弹窗关闭,57,42;235;311;429;484;570;750;977;1216;1415;1662;1735;1840;1920;1969;2032,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,"42: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
235: #### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
311: #### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
429: #### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
484: #### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
570: #### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
750: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
977: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
1216: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
1415: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
1662: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
1735: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
1840: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
1920: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
1969: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
2032: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉",57:   - 鍒涘缓寮圭獥鍏抽棴,PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-03023,user-agent,docs/SPEC-§22-用户端体验增强.md,source_quote;atomic_assertion,完成能力 / 展示效果,自动跳转到模型列表页 `/console/models,自动跳转到模型列表页 `/console/models,63,42;235;311;429;484;570;750;977;1216;1415;1662;1735;1840;1920;1969;2032,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,"42: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
235: #### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
311: #### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
429: #### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
484: #### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
570: #### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
750: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
977: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
1216: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
1415: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
1662: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
1735: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
1840: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
1920: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
1969: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
2032: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉",63: - 鑷姩璺宠浆鍒版ā鍨嬪垪琛ㄩ〉 `/console/models`,PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-03041,user-agent,docs/SPEC-§22-用户端体验增强.md,source_quote;atomic_assertion,完成能力 / 展示效果,展示三个语言标签切换：Python | JavaScript | cURL,展示三个语言标签切换：Python | JavaScript | cURL,83,42;235;311;429;484;570;750;977;1216;1415;1662;1735;1840;1920;1969;2032,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,"42: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
235: #### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
311: #### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
429: #### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
484: #### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
570: #### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
750: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
977: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
1216: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
1415: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
1662: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
1735: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
1840: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
1920: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
1969: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
2032: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉",83: - 灞曠ず涓変釜璇█鏍囩鍒囨崲锛歅ython | JavaScript | cURL,PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-03044,user-agent,docs/SPEC-§22-用户端体验增强.md,source_quote;atomic_assertion,完成能力 / 展示效果,JavaScript：`import { ThreeCloud } from '3cloud-sdk';,JavaScript：`import { ThreeCloud } from '3cloud-sdk';,85,42;235;311;429;484;570;750;977;1216;1415;1662;1735;1840;1920;1969;2032,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,"42: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
235: #### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
311: #### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
429: #### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
484: #### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
570: #### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
750: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
977: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
1216: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
1415: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
1662: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
1735: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
1840: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
1920: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
1969: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
2032: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉",85:   - JavaScript锛歚import { ThreeCloud } from '3cloud-sdk'; const client = new ThreeCloud({ apiKey: 'sk-3c-xxx' }); ...`,PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-03046,user-agent,docs/SPEC-§22-用户端体验增强.md,source_quote;atomic_assertion,完成能力 / 展示效果,"cURL：`curl https://api.3cloud.dev/v1/chat/completions -H ""Authorization: Bearer sk-3c-xxx"" ...","cURL：`curl https://api.3cloud.dev/v1/chat/completions -H ""Authorization: Bearer sk-3c-xxx"" ...",86,42;235;311;429;484;570;750;977;1216;1415;1662;1735;1840;1920;1969;2032,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,"42: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
235: #### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
311: #### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
429: #### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
484: #### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
570: #### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
750: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
977: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
1216: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
1415: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
1662: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
1735: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
1840: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
1920: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
1969: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
2032: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉","86:   - cURL锛歚curl https://api.3cloud.dev/v1/chat/completions -H ""Authorization: Bearer sk-3c-xxx"" ...`",PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-03072,user-agent,docs/SPEC-§22-用户端体验增强.md,source_quote;atomic_assertion,边界条件,显示友好错误提示 + 解决方案建议 + [重试] 按钮 + 允许跳过,显示友好错误提示 + 解决方案建议 + [重试] 按钮 + 允许跳过,202,196;943;1179;1382;1607;1817,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,"196: ### 杈圭晫鏉′欢
943: ### 杈圭晫鏉′欢
1179: ### 杈圭晫鏉′欢
1382: ### 杈圭晫鏉′欢
1607: ### 杈圭晫鏉′欢
1817: ### 杈圭晫鏉′欢",202: | Step 4 API 璋冪敤澶辫触 | 鏄剧ず鍙嬪ソ閿欒鎻愮ず + 瑙ｅ喅鏂规寤鸿 + [閲嶈瘯] 鎸夐挳 + 鍏佽璺宠繃 |,PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-03083,user-agent,docs/SPEC-§22-用户端体验增强.md,source_section,验收标准,AC-1,AC-1,722,209;956;1195;1395;1621;1724;1827;1908;1957;2021;2096,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,"209: ### 楠屾敹鏍囧噯
956: ### 楠屾敹鏍囧噯
1195: ### 楠屾敹鏍囧噯
1395: ### 楠屾敹鏍囧噯
1621: ### 楠屾敹鏍囧噯
1724: ### 楠屾敹鏍囧噯
1827: ### 楠屾敹鏍囧噯
1908: ### 楠屾敹鏍囧噯
1957: ### 楠屾敹鏍囧噯
2021: ### 楠屾敹鏍囧噯
2096: ### 楠屾敹鏍囧噯",722: | AC-14 | 璋冨害浠诲姟瑙﹀彂 rate_spike 鍛婅 | 鍛婅鍗＄墖鍑虹幇鏂板憡璀︼紝绾㈣壊瑙掓爣鏁板瓧 +1 |,PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-03086,user-agent,docs/SPEC-§22-用户端体验增强.md,source_section,验收标准,AC-2,AC-2,729,209;956;1195;1395;1621;1724;1827;1908;1957;2021;2096,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,"209: ### 楠屾敹鏍囧噯
956: ### 楠屾敹鏍囧噯
1195: ### 楠屾敹鏍囧噯
1395: ### 楠屾敹鏍囧噯
1621: ### 楠屾敹鏍囧噯
1724: ### 楠屾敹鏍囧噯
1827: ### 楠屾敹鏍囧噯
1908: ### 楠屾敹鏍囧噯
1957: ### 楠屾敹鏍囧噯
2021: ### 楠屾敹鏍囧噯
2096: ### 楠屾敹鏍囧噯","729: | AC-21 | 瀵煎嚭 > 100,000 鏉?| 寮圭獥鎻愮ず""缂╁皬鏃堕棿鑼冨洿"" |",PENDING,PENDING,PENDING,PENDING,PENDING,
