req_id,domain,source_path,source_section,source_quote,category,priority,atomic_assertion,expected_evidence,notes
UA2-00001,user-agent,docs/PRD-用户体系.md,2.1 瑙掕壊涓庢潈闄愪綋绯|,馃搸 **娣卞寲鍙傝€*锛歔`docs/ref-2.1-roles-permissions.md`](ref-2.1-roles-permissions.md) 鈥鍚Bitset 鏉冮檺瀹氫箟锛0 椤癸級銆佸唴缃鑹叉潈闄愮煩闃点€佹潈闄愯绠椾紭鍏堢骇銆丄PI 鎺ュ彛銆佷腑闂翠欢浣跨敤璇存槑,logic,P1,馃搸 **娣卞寲鍙傝€*锛歔`docs/ref-2.1-roles-permissions.md`](ref-2.1-roles-permissions.md) 鈥鍚Bitset 鏉冮檺瀹氫箟锛0 椤癸級銆佸唴缃鑹叉潈闄愮煩闃点€佹潈闄愯绠椾紭鍏堢骇銆丄PI 鎺ュ彛銆佷腑闂翠欢浣跨敤璇存槑,对应源码路径与行号；相关测试名称/运行结果；必要时提供数据库、队列或审计日志证据,源自原文段落；本阶段仅登记需求，不判定实现
UA2-00002,user-agent,docs/PRD-用户体系.md,2.1.1 瑙掕壊鐭╅樀,`super_admin`,logic,P1,`super_admin`,对应源码路径与行号；相关测试名称/运行结果；必要时提供数据库、队列或审计日志证据,源自表格单元格；本阶段仅登记需求，不判定实现
UA2-00003,user-agent,docs/PRD-用户体系.md,2.1.1 瑙掕壊鐭╅樀,骞冲彴鎷ユ湁鑰鍒涘浜,logic,P1,骞冲彴鎷ユ湁鑰鍒涘浜,对应源码路径与行号；相关测试名称/运行结果；必要时提供数据库、队列或审计日志证据,源自表格单元格；本阶段仅登记需求，不判定实现
UA2-00004,user-agent,docs/PRD-用户体系.md,2.1.1 瑙掕壊鐭╅樀,鍏ㄩ儴鏉冮檺锛屼笉鍙浠讳綍浜虹鐞,logic,P1,鍏ㄩ儴鏉冮檺锛屼笉鍙浠讳綍浜虹鐞,对应源码路径与行号；相关测试名称/运行结果；必要时提供数据库、队列或审计日志证据,源自表格单元格；本阶段仅登记需求，不判定实现
UA2-00005,user-agent,docs/PRD-用户体系.md,2.1.1 瑙掕壊鐭╅樀,1-3 浜,logic,P1,1-3 浜,对应源码路径与行号；相关测试名称/运行结果；必要时提供数据库、队列或审计日志证据,源自表格单元格；本阶段仅登记需求，不判定实现
UA2-00006,user-agent,docs/PRD-用户体系.md,2.1.1 瑙掕壊鐭╅樀,鍒涘浜恒€丆TO,logic,P1,鍒涘浜恒€丆TO,对应源码路径与行号；相关测试名称/运行结果；必要时提供数据库、队列或审计日志证据,源自表格单元格；本阶段仅登记需求，不判定实现
UA2-00007,user-agent,docs/PRD-用户体系.md,2.1.1 瑙掕壊鐭╅樀,`admin`,logic,P1,`admin`,对应源码路径与行号；相关测试名称/运行结果；必要时提供数据库、队列或审计日志证据,源自表格单元格；本阶段仅登记需求，不判定实现
UA2-00008,user-agent,docs/PRD-用户体系.md,2.1.1 瑙掕壊鐭╅樀,杩愯惀绠＄悊鍛,logic,P1,杩愯惀绠＄悊鍛,对应源码路径与行号；相关测试名称/运行结果；必要时提供数据库、队列或审计日志证据,源自表格单元格；本阶段仅登记需求，不判定实现
UA2-00009,user-agent,docs/PRD-用户体系.md,2.1.1 瑙掕壊鐭╅樀,闄よ储鍔℃斁娆绯荤粺瀵嗛挜澶栫殑鍏ㄩ儴绠＄悊鏉冮檺,logic,P1,闄よ储鍔℃斁娆绯荤粺瀵嗛挜澶栫殑鍏ㄩ儴绠＄悊鏉冮檺,对应源码路径与行号；相关测试名称/运行结果；必要时提供数据库、队列或审计日志证据,源自表格单元格；本阶段仅登记需求，不判定实现
UA2-00010,user-agent,docs/PRD-用户体系.md,2.1.1 瑙掕壊鐭╅樀,鎸夐渶,logic,P1,鎸夐渶,对应源码路径与行号；相关测试名称/运行结果；必要时提供数据库、队列或审计日志证据,源自表格单元格；本阶段仅登记需求，不判定实现
UA2-00011,user-agent,docs/PRD-用户体系.md,2.1.1 瑙掕壊鐭╅樀,鏃ュ父杩愯惀璐熻矗浜,logic,P1,鏃ュ父杩愯惀璐熻矗浜,对应源码路径与行号；相关测试名称/运行结果；必要时提供数据库、队列或审计日志证据,源自表格单元格；本阶段仅登记需求，不判定实现
UA2-00012,user-agent,docs/PRD-用户体系.md,2.1.1 瑙掕壊鐭╅樀,`finance`,logic,P1,`finance`,对应源码路径与行号；相关测试名称/运行结果；必要时提供数据库、队列或审计日志证据,源自表格单元格；本阶段仅登记需求，不判定实现
UA2-00013,user-agent,docs/PRD-用户体系.md,2.1.1 瑙掕壊鐭╅樀,璐㈠姟宀,logic,P1,璐㈠姟宀,对应源码路径与行号；相关测试名称/运行结果；必要时提供数据库、队列或审计日志证据,源自表格单元格；本阶段仅登记需求，不判定实现
UA2-00014,user-agent,docs/PRD-用户体系.md,2.1.1 瑙掕壊鐭╅樀,璐㈠姟鏁版嵁鏌ョ湅銆佸厖鍊煎鏍搞€佹彁鐜板垵瀹°€佸彂绁ㄧ鐞,logic,P1,璐㈠姟鏁版嵁鏌ョ湅銆佸厖鍊煎鏍搞€佹彁鐜板垵瀹°€佸彂绁ㄧ鐞,对应源码路径与行号；相关测试名称/运行结果；必要时提供数据库、队列或审计日志证据,源自表格单元格；本阶段仅登记需求，不判定实现
UA2-00015,user-agent,docs/PRD-用户体系.md,2.1.1 瑙掕壊鐭╅樀,1-5 浜,logic,P1,1-5 浜,对应源码路径与行号；相关测试名称/运行结果；必要时提供数据库、队列或审计日志证据,源自表格单元格；本阶段仅登记需求，不判定实现
UA2-00016,user-agent,docs/PRD-用户体系.md,2.1.1 瑙掕壊鐭╅樀,鍑虹撼銆佷細璁,logic,P1,鍑虹撼銆佷細璁,对应源码路径与行号；相关测试名称/运行结果；必要时提供数据库、队列或审计日志证据,源自表格单元格；本阶段仅登记需求，不判定实现
UA2-00017,user-agent,docs/PRD-用户体系.md,2.1.1 瑙掕壊鐭╅樀,`auditor`,logic,P1,`auditor`,对应源码路径与行号；相关测试名称/运行结果；必要时提供数据库、队列或审计日志证据,源自表格单元格；本阶段仅登记需求，不判定实现
UA2-00018,user-agent,docs/PRD-用户体系.md,2.1.1 瑙掕壊鐭╅樀,瀹¤宀,logic,P1,瀹¤宀,对应源码路径与行号；相关测试名称/运行结果；必要时提供数据库、队列或审计日志证据,源自表格单元格；本阶段仅登记需求，不判定实现
UA2-00019,user-agent,docs/PRD-用户体系.md,2.1.1 瑙掕壊鐭╅樀,鏃ュ織鍙鏉冮檺銆佸璁℃姤琛ㄦ煡鐪,logic,P1,鏃ュ織鍙鏉冮檺銆佸璁℃姤琛ㄦ煡鐪,对应源码路径与行号；相关测试名称/运行结果；必要时提供数据库、队列或审计日志证据,源自表格单元格；本阶段仅登记需求，不判定实现
UA2-00021,user-agent,docs/PRD-用户体系.md,2.1.1 瑙掕壊鐭╅樀,鍚堣瀹¤,logic,P1,鍚堣瀹¤,对应源码路径与行号；相关测试名称/运行结果；必要时提供数据库、队列或审计日志证据,源自表格单元格；本阶段仅登记需求，不判定实现
UA2-00022,user-agent,docs/PRD-用户体系.md,2.1.1 瑙掕壊鐭╅樀,`operator`,permission,P1,`operator`,对应源码路径与行号；相关测试名称/运行结果；必要时提供数据库、队列或审计日志证据,源自表格单元格；本阶段仅登记需求，不判定实现
UA2-00023,user-agent,docs/PRD-用户体系.md,2.1.1 瑙掕壊鐭╅樀,杩愯惀宀,logic,P1,杩愯惀宀,对应源码路径与行号；相关测试名称/运行结果；必要时提供数据库、队列或审计日志证据,源自表格单元格；本阶段仅登记需求，不判定实现
UA2-00024,user-agent,docs/PRD-用户体系.md,2.1.1 瑙掕壊鐭╅樀,娲诲姩/鍏憡/鍐呭/閭欢妯℃澘绠＄悊,logic,P1,娲诲姩/鍏憡/鍐呭/閭欢妯℃澘绠＄悊,对应源码路径与行号；相关测试名称/运行结果；必要时提供数据库、队列或审计日志证据,源自表格单元格；本阶段仅登记需求，不判定实现
