req_id,domain,source_path,bad_fields,recovered_section,recovered_quote,recovered_assertion,quote_source_lines,section_source_lines,conversion,compound_after_recovery,status,basis,source_section_context,source_quote_context,section_check,quote_check,assertion_check,format_risk_check,review_decision,review_notes
UA2-00052,user-agent,docs/PRD-用户体系.md,source_section;source_quote;atomic_assertion,2.1.2 权限引擎规格,**资源维度**（按模块划分）：,**资源维度**（按模块划分）：,23,21,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,21: #### 2.1.2 鏉冮檺寮曟搸瑙勬牸,23: **璧勬簮缁村害**锛堟寜妯″潡鍒掑垎锛夛細,PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-00053,user-agent,docs/PRD-用户体系.md,source_section,2.1.2 权限引擎规格,`user`,`user`,27;78,21,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,21: #### 2.1.2 鏉冮檺寮曟搸瑙勬牸,"27: | `user` | 鐢ㄦ埛绠＄悊 | 鍒楄〃 / 璇︽儏 / 浣欓鎿嶄綔 / 绂佺敤 |
78: | `target_type` | 鎿嶄綔瀵硅薄绫诲瀷 | `user` |",PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-00054,user-agent,docs/PRD-用户体系.md,source_section;source_quote;atomic_assertion,2.1.2 权限引擎规格,用户管理,用户管理,27,21,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,21: #### 2.1.2 鏉冮檺寮曟搸瑙勬牸,27: | `user` | 鐢ㄦ埛绠＄悊 | 鍒楄〃 / 璇︽儏 / 浣欓鎿嶄綔 / 绂佺敤 |,PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-00055,user-agent,docs/PRD-用户体系.md,source_section;source_quote;atomic_assertion,2.1.2 权限引擎规格,列表 / 详情 / 余额操作 / 禁用,列表 / 详情 / 余额操作 / 禁用,27,21,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,21: #### 2.1.2 鏉冮檺寮曟搸瑙勬牸,27: | `user` | 鐢ㄦ埛绠＄悊 | 鍒楄〃 / 璇︽儏 / 浣欓鎿嶄綔 / 绂佺敤 |,PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-00056,user-agent,docs/PRD-用户体系.md,source_section,2.1.2 权限引擎规格,`apikey`,`apikey`,28,21,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,21: #### 2.1.2 鏉冮檺寮曟搸瑙勬牸,28: | `apikey` | API Key 绠＄悊 | 鍒楄〃 / 鍒涘缓 / 缂栬緫 / 鍒犻櫎 / 鏉冮檺閰嶇疆 |,PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-00057,user-agent,docs/PRD-用户体系.md,source_section;source_quote;atomic_assertion,2.1.2 权限引擎规格,API Key 管理,API Key 管理,28;777,21,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,21: #### 2.1.2 鏉冮檺寮曟搸瑙勬牸,"28: | `apikey` | API Key 绠＄悊 | 鍒楄〃 / 鍒涘缓 / 缂栬緫 / 鍒犻櫎 / 鏉冮檺閰嶇疆 |
777: #### 2.2.3 API Key 绠＄悊 `/console/api-keys`",PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-00058,user-agent,docs/PRD-用户体系.md,source_section;source_quote;atomic_assertion,2.1.2 权限引擎规格,列表 / 创建 / 编辑 / 删除 / 权限配置,列表 / 创建 / 编辑 / 删除 / 权限配置,28,21,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,21: #### 2.1.2 鏉冮檺寮曟搸瑙勬牸,28: | `apikey` | API Key 绠＄悊 | 鍒楄〃 / 鍒涘缓 / 缂栬緫 / 鍒犻櫎 / 鏉冮檺閰嶇疆 |,PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-00062,user-agent,docs/PRD-用户体系.md,source_section,2.1.2 权限引擎规格,`model`,`model`,30,21,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,21: #### 2.1.2 鏉冮檺寮曟搸瑙勬牸,30: | `model` | 妯″瀷绠＄悊 | 鍒楄〃 / 浠锋牸 / 鏄犲皠 |,PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-00063,user-agent,docs/PRD-用户体系.md,source_section;source_quote;atomic_assertion,2.1.2 权限引擎规格,模型管理,模型管理,30,21,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,21: #### 2.1.2 鏉冮檺寮曟搸瑙勬牸,30: | `model` | 妯″瀷绠＄悊 | 鍒楄〃 / 浠锋牸 / 鏄犲皠 |,PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-00064,user-agent,docs/PRD-用户体系.md,source_section;source_quote;atomic_assertion,2.1.2 权限引擎规格,列表 / 价格 / 映射,列表 / 价格 / 映射,30,21,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,21: #### 2.1.2 鏉冮檺寮曟搸瑙勬牸,30: | `model` | 妯″瀷绠＄悊 | 鍒楄〃 / 浠锋牸 / 鏄犲皠 |,PENDING,PENDING,PENDING,PENDING,PENDING,
