req_id,domain,source_path,bad_fields,recovered_section,recovered_quote,recovered_assertion,quote_source_lines,section_source_lines,conversion,compound_after_recovery,status,basis
UA2-02013,user-agent,docs/PRD-用户端体验增强.md,source_quote;atomic_assertion,功能规格,修改密码 / 绑定手机 / 绑定邮箱 / 2FA 管理,修改密码 / 绑定手机 / 绑定邮箱 / 2FA 管理,306,11;67;141;176;240;300;338;409,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-02016,user-agent,docs/PRD-用户端体验增强.md,source_quote;atomic_assertion,功能规格,安全评分,安全评分,308;320,11;67;141;176;240;300;338;409,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-02017,user-agent,docs/PRD-用户端体验增强.md,source_quote;atomic_assertion,功能规格,综合安全设置完成度评分，引导完善安全配置,综合安全设置完成度评分，引导完善安全配置,308,11;67;141;176;240;300;338;409,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-02019,user-agent,docs/PRD-用户端体验增强.md,source_section,API 接口,/api/v1/me/security/devices,/api/v1/me/security/devices,314;315,41;114;151;213;275;310;381;435,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-02020,user-agent,docs/PRD-用户端体验增强.md,source_section;source_quote;atomic_assertion,API 接口,登录设备列表,登录设备列表,314,41;114;151;213;275;310;381;435,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-02023,user-agent,docs/PRD-用户端体验增强.md,source_section,API 接口,/api/v1/me/security/devices/:id/logout,/api/v1/me/security/devices/:id/logout,315,41;114;151;213;275;310;381;435,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-02024,user-agent,docs/PRD-用户端体验增强.md,source_section;source_quote;atomic_assertion,API 接口,远程登出设备,远程登出设备,315,41;114;151;213;275;310;381;435,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-02027,user-agent,docs/PRD-用户端体验增强.md,source_section,API 接口,/api/v1/me/security/login-history,/api/v1/me/security/login-history,316,41;114;151;213;275;310;381;435,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-02028,user-agent,docs/PRD-用户端体验增强.md,source_section;source_quote;atomic_assertion,API 接口,登录活动日志,登录活动日志,316,41;114;151;213;275;310;381;435,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-02031,user-agent,docs/PRD-用户端体验增强.md,source_section,API 接口,/api/v1/me/security/change-password,/api/v1/me/security/change-password,317,41;114;151;213;275;310;381;435,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-02032,user-agent,docs/PRD-用户端体验增强.md,source_section;source_quote;atomic_assertion,API 接口,修改密码,修改密码,306;317,41;114;151;213;275;310;381;435,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-02035,user-agent,docs/PRD-用户端体验增强.md,source_section,API 接口,/api/v1/me/security/bind-phone,/api/v1/me/security/bind-phone,318,41;114;151;213;275;310;381;435,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-02039,user-agent,docs/PRD-用户端体验增强.md,source_section,API 接口,/api/v1/me/security/bind-email,/api/v1/me/security/bind-email,319,41;114;151;213;275;310;381;435,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
