prototype_id,path,title,interactive_markup_count,line_count
PROTO-0001,kb/3cloud/prototypes/admin-adjust.html,3cloud Admin — 手动调账,40,715
PROTO-0002,kb/3cloud/prototypes/admin-affiliate.html,3cloud Admin — 推荐返利,15,63
PROTO-0003,kb/3cloud/prototypes/admin-agent-commission.html,3cloud Admin — 佣金配置,9,129
PROTO-0004,kb/3cloud/prototypes/admin-agent-customer-approval.html,3cloud Admin — 代理商客户报备审核,45,109
PROTO-0005,kb/3cloud/prototypes/admin-agent-detail.html,3cloud Admin — 代理商详情,10,464
PROTO-0006,kb/3cloud/prototypes/admin-agent-withdraw.html,3cloud Admin — 提现记录,15,235
PROTO-0007,kb/3cloud/prototypes/admin-agent.html,3cloud Admin — 代理商管理,51,407
PROTO-0008,kb/3cloud/prototypes/admin-announcement.html,3cloud Admin — 公告管理,16,33
PROTO-0009,kb/3cloud/prototypes/admin-api-keys.html,3cloud Admin — API 密钥管理,37,527
PROTO-0010,kb/3cloud/prototypes/admin-apikey-security.html,3cloud Admin — API Key 安全全局视图,48,117
PROTO-0011,kb/3cloud/prototypes/admin-audit-log.html,3cloud Admin — 登录日志,11,58
PROTO-0012,kb/3cloud/prototypes/admin-audit-report.html,3cloud Admin — 操作审计,11,58
PROTO-0013,kb/3cloud/prototypes/admin-balance-alert.html,3cloud Admin — 余额预警管理,51,112
PROTO-0014,kb/3cloud/prototypes/admin-campaign.html,3cloud Admin — 营销活动管理,55,188
PROTO-0015,kb/3cloud/prototypes/admin-cockpit.html,3cloud Admin — 数据驾驶舱,6,381
PROTO-0016,kb/3cloud/prototypes/admin-commission-flow.html,3cloud Admin — 佣金流水,26,714
PROTO-0017,kb/3cloud/prototypes/admin-competitive-monitor.html,3cloud Admin — 竞品价格监控,35,100
PROTO-0018,kb/3cloud/prototypes/admin-consumption-anomaly.html,3cloud Admin — 消费异常检测面板,25,88
PROTO-0019,kb/3cloud/prototypes/admin-consumption-stream.html,3cloud Admin — 实时消费流水大屏,6,93
