req_id,domain,source_path,bad_fields,recovered_section,recovered_quote,recovered_assertion,quote_source_lines,section_source_lines,conversion,compound_after_recovery,status,basis
REQ-CF-02596,core-finance,docs/PRD-运营增长模块.md,source_section;source_quote,API 接口,| 方法 | 路径 | 说明 | 权限 |,鏂规硶应满足：`GET`,41;103;174;249;331,39;101;172;247;329,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
REQ-CF-02638,core-finance,docs/PRD-运营增长模块.md,source_section;source_quote,API 接口,| 方法 | 路径 | 说明 | 权限 |,璇存槑应满足：鎴戠殑浼樻儬鍒稿垪琛?,41;103;174;249;331,39;101;172;247;329,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
REQ-CF-02642,core-finance,docs/PRD-运营增长模块.md,source_section;source_quote,API 接口,| 方法 | 路径 | 说明 | 权限 |,璇存槑应满足：浣跨敤浼樻儬鍒?,41;103;174;249;331,39;101;172;247;329,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
REQ-CF-02724,core-finance,docs/PRD-运营增长模块.md,source_section;source_quote,API 接口,| 方法 | 路径 | 说明 | 权限 |,鏂规硶应满足：`PATCH`,41;103;174;249;331,39;101;172;247;329,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
REQ-CF-02801,core-finance,docs/PRD-运营增长模块.md,source_section;source_quote,API 接口,| 方法 | 路径 | 说明 | 权限 |,鏉冮檺应满足：浠ｇ悊鍟?,41;103;174;249;331,39;101;172;247;329,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
REQ-CF-02804,core-finance,docs/PRD-运营增长模块.md,source_section;source_quote,API 接口,| 方法 | 路径 | 说明 | 权限 |,璇存槑应满足：閲嶆柊鐢熸垚鎺ㄨ崘鐮?,41;103;174;249;331,39;101;172;247;329,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
REQ-CF-02806,core-finance,docs/PRD-运营增长模块.md,source_section;source_quote,API 接口,| 方法 | 路径 | 说明 | 权限 |,鏂规硶应满足：`PUT`,41;103;174;249;331,39;101;172;247;329,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
REQ-CF-02834,core-finance,docs/PRD-运营增长模块.md,source_section,前端变更,| 页面 | 变更 |,椤甸潰应满足：娉ㄥ唽椤甸潰,51;112;185;259;343,49;110;183;257;341,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
REQ-ADMINPORTAL-00586,growth-operations,docs/PRD-运营增长模块.md,source_section,前端变更,| 页面 | 变更 |,需求规定：椤甸潰 | 鍙樻洿,51;112;185;259;343,49;110;183;257;341,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
REQ-ADMINPORTAL-00602,growth-operations,docs/PRD-运营增长模块.md,source_section,前端变更,| 页面 | 变更 |,需求规定：椤甸潰 | 鍙樻洿,51;112;185;259;343,49;110;183;257;341,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
REQ-ADMINPORTAL-00620,growth-operations,docs/PRD-运营增长模块.md,source_section,前端变更,| 页面 | 变更 |,需求规定：椤甸潰 | 鍙樻洿,51;112;185;259;343,49;110;183;257;341,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
REQ-ADMINPORTAL-00639,growth-operations,docs/PRD-运营增长模块.md,source_section,前端变更,| 页面 | 变更 |,需求规定：椤甸潰 | 鍙樻洿,51;112;185;259;343,49;110;183;257;341,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
REQ-ADMINPORTAL-00675,growth-operations,docs/PRD-运营增长模块.md,source_section,前端变更,| 页面 | 变更 |,需求规定：椤甸潰 | 鍙樻洿,51;112;185;259;343,49;110;183;257;341,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
