req_id,domain,source_path,source_section,source_quote,category,priority,atomic_assertion,expected_evidence,notes
REQ-ADMINPORTAL-00001,admin-portal,docs/PRD-管理后台.md,4.1 鎬昏鐪嬫澘 `/admin`,**鏍稿績鎸囨爣鍖哄煙**,logic,P1,需求规定：**鏍稿績鎸囨爣鍖哄煙**,源码路径+测试用例/运行验证（本阶段仅登记证据要求）,未判定实现状态；不得复用旧审计结论
REQ-ADMINPORTAL-00002,admin-portal,docs/PRD-管理后台.md,4.1 鎬昏鐪嬫澘 `/admin`,| 鎸囨爣鍗?| 鏁版嵁婧?| 鏇存柊棰戠巼 | 灞曠ず鏍煎紡 |,logic,P1,需求规定：鎸囨爣鍗?| 鏁版嵁婧?| 鏇存柊棰戠巼 | 灞曠ず鏍煎紡,源码路径+测试用例/运行验证（本阶段仅登记证据要求）,未判定实现状态；不得复用旧审计结论
REQ-ADMINPORTAL-00003,admin-portal,docs/PRD-管理后台.md,4.1 鎬昏鐪嬫澘 `/admin`,"| 浠婃棩鏀跺叆 | `consumption_logs` 褰撴棩 | 瀹炴椂锛?0 绉掞級| 楼1,234.50 鈫?2% |",logic,P1,"需求规定：浠婃棩鏀跺叆 | `consumption_logs` 褰撴棩 | 瀹炴椂锛?0 绉掞級| 楼1,234.50 鈫?2%",源码路径+测试用例/运行验证（本阶段仅登记证据要求）,未判定实现状态；不得复用旧审计结论
REQ-ADMINPORTAL-00004,admin-portal,docs/PRD-管理后台.md,4.1 鎬昏鐪嬫澘 `/admin`,| 鏂板鐢ㄦ埛鏁?| `users` 褰撴棩娉ㄥ唽 | 1 鍒嗛挓 | 56 浜?鈫?% |,logic,P1,需求规定：鏂板鐢ㄦ埛鏁?| `users` 褰撴棩娉ㄥ唽 | 1 鍒嗛挓 | 56 浜?鈫?%,源码路径+测试用例/运行验证（本阶段仅登记证据要求）,未判定实现状态；不得复用旧审计结论
REQ-ADMINPORTAL-00005,admin-portal,docs/PRD-管理后台.md,4.1 鎬昏鐪嬫澘 `/admin`,"| API 鎬昏皟鐢ㄩ噺 | `call_logs` 褰撴棩 | 瀹炴椂锛?0 绉掞級| 123,456 鈫?% |",api,P1,"需求规定：API 鎬昏皟鐢ㄩ噺 | `call_logs` 褰撴棩 | 瀹炴椂锛?0 绉掞級| 123,456 鈫?%",源码路径+测试用例/运行验证（本阶段仅登记证据要求）,未判定实现状态；不得复用旧审计结论
REQ-ADMINPORTAL-00006,admin-portal,docs/PRD-管理后台.md,4.1 鎬昏鐪嬫澘 `/admin`,| 澶辫触鐜?| (澶辫触/鎬绘暟)脳100 | 瀹炴椂锛?0 绉掞級| 2.3% 馃煝 |,logic,P1,需求规定：澶辫触鐜?| (澶辫触/鎬绘暟)脳100 | 瀹炴椂锛?0 绉掞級| 2.3% 馃煝,源码路径+测试用例/运行验证（本阶段仅登记证据要求）,未判定实现状态；不得复用旧审计结论
REQ-ADMINPORTAL-00007,admin-portal,docs/PRD-管理后台.md,4.1 鎬昏鐪嬫澘 `/admin`,| 鍦ㄧ嚎鐢ㄦ埛 | WebSocket 杩炴帴鏁?| 瀹炴椂锛? 绉掞級| 234 浜?|,logic,P1,需求规定：鍦ㄧ嚎鐢ㄦ埛 | WebSocket 杩炴帴鏁?| 瀹炴椂锛? 绉掞級| 234 浜?,源码路径+测试用例/运行验证（本阶段仅登记证据要求）,未判定实现状态；不得复用旧审计结论
REQ-ADMINPORTAL-00008,admin-portal,docs/PRD-管理后台.md,4.1 鎬昏鐪嬫澘 `/admin`,"| 鏈湀姣涘埄娑?| 鏀跺叆 - 渚涘簲鍟嗘垚鏈?| 1 灏忔椂 | 楼12,345.60 |",logic,P1,"需求规定：鏈湀姣涘埄娑?| 鏀跺叆 - 渚涘簲鍟嗘垚鏈?| 1 灏忔椂 | 楼12,345.60",源码路径+测试用例/运行验证（本阶段仅登记证据要求）,未判定实现状态；不得复用旧审计结论
REQ-ADMINPORTAL-00009,admin-portal,docs/PRD-管理后台.md,4.1 鎬昏鐪嬫澘 `/admin`,| 姣涘埄鐜?| (姣涘埄娑?鏀跺叆)脳100 | 1 灏忔椂 | 25.6% |,logic,P1,需求规定：姣涘埄鐜?| (姣涘埄娑?鏀跺叆)脳100 | 1 灏忔椂 | 25.6%,源码路径+测试用例/运行验证（本阶段仅登记证据要求）,未判定实现状态；不得复用旧审计结论
REQ-ADMINPORTAL-00010,admin-portal,docs/PRD-管理后台.md,4.1 鎬昏鐪嬫澘 `/admin`,**寮傚父鎸囨爣鑷姩楂樹寒**,logic,P1,需求规定：**寮傚父鎸囨爣鑷姩楂樹寒**,源码路径+测试用例/运行验证（本阶段仅登记证据要求）,未判定实现状态；不得复用旧审计结论
