req_id,domain,source_path,bad_fields,recovered_section,recovered_quote,recovered_assertion,quote_source_lines,section_source_lines,conversion,compound_after_recovery,status,basis,source_section_context,source_quote_context,section_check,quote_check,assertion_check,format_risk_check,review_decision,review_notes
UA2-00917,user-agent,docs/PRD-代理商体系.md,source_quote;atomic_assertion,3.1 代理商层级与权益,自动,自动,3,9,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,9: ### 3.1 浠ｇ悊鍟嗗眰绾т笌鏉冪泭,3: > ① 无注册/升级入口，代理商身份仅后台「设为代理商」创建；② **单级分销**（D1，无子代理/多级抽成）；③ 客户归属**唯一来源=报备划拨**（D2，报备 → 后台审核 → 自动划拨，无邀请裂变/自助绑定）；④ 佣金按**消费时刻归属**解析、单级计佣（D7）。,PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-00933,user-agent,docs/PRD-代理商体系.md,source_section,3.2 代理佣金规则配置,**佣金计算方式**,**佣金计算方式**,20,18,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,18: ### 3.2 浠ｇ悊浣ｉ噾瑙勫垯閰嶇疆,20: **浣ｉ噾璁＄畻鏂瑰紡**,PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-00944,user-agent,docs/PRD-代理商体系.md,source_section;source_quote;atomic_assertion,3.2 代理佣金规则配置,按模型分别设置不同佣金率,按模型分别设置不同佣金率,27,18,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,18: ### 3.2 浠ｇ悊浣ｉ噾瑙勫垯閰嶇疆,27: | 娣峰悎 | 鎸夋ā鍨嬪垎鍒缃笉鍚屼剑閲戠巼 | 绮剧粏杩愯惀 |,PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-00945,user-agent,docs/PRD-代理商体系.md,source_section;source_quote;atomic_assertion,3.2 代理佣金规则配置,精细运营,精细运营,27,18,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,18: ### 3.2 浠ｇ悊浣ｉ噾瑙勫垯閰嶇疆,27: | 娣峰悎 | 鎸夋ā鍨嬪垎鍒缃笉鍚屼剑閲戠巼 | 绮剧粏杩愯惀 |,PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-00946,user-agent,docs/PRD-代理商体系.md,source_section;source_quote;atomic_assertion,3.2 代理佣金规则配置,**规则配置界面**,**规则配置界面**,29,18,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,18: ### 3.2 浠ｇ悊浣ｉ噾瑙勫垯閰嶇疆,29: **瑙勫垯閰嶇疆鐣岄潰**,PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-00947,user-agent,docs/PRD-代理商体系.md,source_section;source_quote;atomic_assertion,3.2 代理佣金规则配置,**佣金规则变更审计**,**佣金规则变更审计**,48,18,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,18: ### 3.2 浠ｇ悊浣ｉ噾瑙勫垯閰嶇疆,48: **浣ｉ噾瑙勫垯鍙樻洿瀹¤**,PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-00950,user-agent,docs/PRD-代理商体系.md,source_section,3.3 代理端仪表盘,**核心指标**,**核心指标**,56,54,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,54: ### 3.3 浠ｇ悊绔华琛ㄧ洏,56: **鏍稿績鎸囨爣**,PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-00966,user-agent,docs/PRD-代理商体系.md,source_section,3.3 代理端仪表盘,**瓒嬪娍鍥?*,**瓒嬪娍鍥?*,66,54,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,54: ### 3.3 浠ｇ悊绔华琛ㄧ洏,66: **瓒嬪娍鍥?*,PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-00967,user-agent,docs/PRD-代理商体系.md,source_section,3.3 代理端仪表盘,杩?7 澶╁悕涓嬬敤鎴锋秷璐硅秼鍔?,杩?7 澶╁悕涓嬬敤鎴锋秷璐硅秼鍔?,67,54,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,54: ### 3.3 浠ｇ悊绔华琛ㄧ洏,67: - 杩?7 澶╁悕涓嬬敤鎴锋秷璐硅秼鍔?,PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-00969,user-agent,docs/PRD-代理商体系.md,source_section,3.3 代理端仪表盘,客户增长趋势,客户增长趋势,69,54,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,54: ### 3.3 浠ｇ悊绔华琛ㄧ洏,69: - 瀹㈡埛澧為暱瓒嬪娍,PENDING,PENDING,PENDING,PENDING,PENDING,
