req_id,domain,source_path,bad_fields,recovered_section,recovered_quote,recovered_assertion,quote_source_lines,section_source_lines,conversion,compound_after_recovery,status,basis
REQ-CF-00001,core-finance,docs/PRD-核心引擎.md,source_section;source_quote;atomic_assertion,5.1 智能路由系统,馃搸 **娣卞寲鍙傝€?*锛歔`docs/ref-5.1-routing.md`](ref-5.1-routing.md) 鈥?鍚矾鐢辩瓥鐣ョ鐞?API銆佺啍鏂櫒閰嶇疆鎸佷箙鍖栵紙鏂拌〃 Schema锛夈€佹墜鍔ㄨ鐩栨満鍒躲€佽矾鐢辨帹鑽愬垎鏋愮紦瀛樸€佽矾鐢遍厤缃鐞嗛〉闈㈠畬鏁磋鏍硷紙鍥涗釜椤电鐨勭粍浠?Props锛夈€佷氦鍙夊紩鐢ㄤ笌璋冪敤閾?,馃搸 **娣卞寲鍙傝€?*锛歔`docs/ref-5.1-routing.md`](ref-5.1-routing.md) 鈥?鍚矾鐢辩瓥鐣ョ鐞?API銆佺啍鏂櫒閰嶇疆鎸佷箙鍖栵紙鏂拌〃 Schema锛夈€佹墜鍔ㄨ鐩栨満鍒躲€佽矾鐢辨帹鑽愬垎鏋愮紦瀛樸€佽矾鐢遍厤缃鐞嗛〉闈㈠畬鏁磋鏍硷紙鍥涗釜椤电鐨勭粍浠?Props锛夈€佷氦鍙夊紩鐢ㄤ笌璋冪敤閾?,,2,gb18030->utf8 x1,NO,MANUAL_REVIEW,至少一个受影响字段无法整字段安全转换，或完整源行不可读/不可定位，或存在复合断言
REQ-CF-00002,core-finance,docs/PRD-核心引擎.md,source_section;source_quote;atomic_assertion,5.1.2 璐熻浇鍧囪　绠楁硶锛圥2锛?,#### 5.1.2 璐熻浇鍧囪　绠楁硶锛圥2锛?,**加权轮询实现**,,,gb18030->utf8 x1,NO,MANUAL_REVIEW,至少一个受影响字段无法整字段安全转换，或完整源行不可读/不可定位，或存在复合断言
REQ-CF-00003,core-finance,docs/PRD-核心引擎.md,source_section;source_quote;atomic_assertion,5.1.2 璐熻浇鍧囪　绠楁硶锛圥2锛?,#### 5.1.2 璐熻浇鍧囪　绠楁硶锛圥2锛?,**鏈€灏戣繛鎺ヤ紭鍏?*,,,,NO,MANUAL_REVIEW,至少一个受影响字段无法整字段安全转换，或完整源行不可读/不可定位，或存在复合断言
REQ-CF-00004,core-finance,docs/PRD-核心引擎.md,source_section;source_quote;atomic_assertion,5.1.3 鐔旀柇鍣ㄧ姸鎬佹満锛圥2锛?,#### 5.1.3 鐔旀柇鍣ㄧ姸鎬佹満锛圥2锛?,**熔断配置参数**,,,gb18030->utf8 x1,NO,MANUAL_REVIEW,至少一个受影响字段无法整字段安全转换，或完整源行不可读/不可定位，或存在复合断言
REQ-CF-00005,core-finance,docs/PRD-核心引擎.md,source_section;source_quote,5.1.3 鐔旀柇鍣ㄧ姸鎬佹満锛圥2锛?,#### 5.1.3 鐔旀柇鍣ㄧ姸鎬佹満锛圥2锛?,鍙傛暟应满足：澶辫触闃堝€?,,,,NO,MANUAL_REVIEW,至少一个受影响字段无法整字段安全转换，或完整源行不可读/不可定位，或存在复合断言
REQ-CF-00006,core-finance,docs/PRD-核心引擎.md,source_section;source_quote;atomic_assertion,5.1.3 鐔旀柇鍣ㄧ姸鎬佹満锛圥2锛?,#### 5.1.3 鐔旀柇鍣ㄧ姸鎬佹満锛圥2锛?,榛樿鍊?应满足：5 娆?,,,,NO,MANUAL_REVIEW,至少一个受影响字段无法整字段安全转换，或完整源行不可读/不可定位，或存在复合断言
REQ-CF-00007,core-finance,docs/PRD-核心引擎.md,source_section;source_quote;atomic_assertion,5.1.3 鐔旀柇鍣ㄧ姸鎬佹満锛圥2锛?,#### 5.1.3 鐔旀柇鍣ㄧ姸鎬佹満锛圥2锛?,璇存槑应满足：杩炵画澶辫触娆℃暟杈炬鍊艰Е鍙戝崐寮€,,,,NO,MANUAL_REVIEW,至少一个受影响字段无法整字段安全转换，或完整源行不可读/不可定位，或存在复合断言
REQ-CF-00008,core-finance,docs/PRD-核心引擎.md,source_section;source_quote,5.1.3 鐔旀柇鍣ㄧ姸鎬佹満锛圥2锛?,#### 5.1.3 鐔旀柇鍣ㄧ姸鎬佹満锛圥2锛?,鍙傛暟应满足：鐔旀柇瓒呮椂,,,,NO,MANUAL_REVIEW,至少一个受影响字段无法整字段安全转换，或完整源行不可读/不可定位，或存在复合断言
REQ-CF-00009,core-finance,docs/PRD-核心引擎.md,source_section;source_quote;atomic_assertion,5.1.3 鐔旀柇鍣ㄧ姸鎬佹満锛圥2锛?,#### 5.1.3 鐔旀柇鍣ㄧ姸鎬佹満锛圥2锛?,榛樿鍊?应满足：30 绉?,,,,NO,MANUAL_REVIEW,至少一个受影响字段无法整字段安全转换，或完整源行不可读/不可定位，或存在复合断言
REQ-CF-00010,core-finance,docs/PRD-核心引擎.md,source_section;source_quote,5.1.3 鐔旀柇鍣ㄧ姸鎬佹満锛圥2锛?,#### 5.1.3 鐔旀柇鍣ㄧ姸鎬佹満锛圥2锛?,璇存槑应满足：鍏ㄥ紑鐘舵€佷笅绛夊緟澶氫箙杩涘叆鍗婂紑,,,,NO,MANUAL_REVIEW,至少一个受影响字段无法整字段安全转换，或完整源行不可读/不可定位，或存在复合断言
REQ-CF-00011,core-finance,docs/PRD-核心引擎.md,source_section;source_quote,5.1.3 鐔旀柇鍣ㄧ姸鎬佹満锛圥2锛?,#### 5.1.3 鐔旀柇鍣ㄧ姸鎬佹満锛圥2锛?,鍙傛暟应满足：鎺㈤拡鏁?,,,,NO,MANUAL_REVIEW,至少一个受影响字段无法整字段安全转换，或完整源行不可读/不可定位，或存在复合断言
REQ-CF-00012,core-finance,docs/PRD-核心引擎.md,source_section;source_quote;atomic_assertion,5.1.3 鐔旀柇鍣ㄧ姸鎬佹満锛圥2锛?,#### 5.1.3 鐔旀柇鍣ㄧ姸鎬佹満锛圥2锛?,榛樿鍊?应满足：3 娆?,,,,NO,MANUAL_REVIEW,至少一个受影响字段无法整字段安全转换，或完整源行不可读/不可定位，或存在复合断言
REQ-CF-00013,core-finance,docs/PRD-核心引擎.md,source_section;source_quote;atomic_assertion,5.1.3 鐔旀柇鍣ㄧ姸鎬佹満锛圥2锛?,#### 5.1.3 鐔旀柇鍣ㄧ姸鎬佹満锛圥2锛?,璇存槑应满足：鍗婂紑鐘舵€佷笅杩炵画鎴愬姛澶氬皯娆℃仮澶?,,,,NO,MANUAL_REVIEW,至少一个受影响字段无法整字段安全转换，或完整源行不可读/不可定位，或存在复合断言
REQ-CF-00014,core-finance,docs/PRD-核心引擎.md,source_section;source_quote,5.1.3 鐔旀柇鍣ㄧ姸鎬佹満锛圥2锛?,#### 5.1.3 鐔旀柇鍣ㄧ姸鎬佹満锛圥2锛?,鍙傛暟应满足：鎺㈤拡闂撮殧,,,,NO,MANUAL_REVIEW,至少一个受影响字段无法整字段安全转换，或完整源行不可读/不可定位，或存在复合断言
REQ-CF-00015,core-finance,docs/PRD-核心引擎.md,source_section;source_quote;atomic_assertion,5.1.3 鐔旀柇鍣ㄧ姸鎬佹満锛圥2锛?,#### 5.1.3 鐔旀柇鍣ㄧ姸鎬佹満锛圥2锛?,榛樿鍊?应满足：10 绉?,,,,NO,MANUAL_REVIEW,至少一个受影响字段无法整字段安全转换，或完整源行不可读/不可定位，或存在复合断言
REQ-CF-00016,core-finance,docs/PRD-核心引擎.md,source_section;source_quote;atomic_assertion,5.1.3 鐔旀柇鍣ㄧ姸鎬佹満锛圥2锛?,#### 5.1.3 鐔旀柇鍣ㄧ姸鎬佹満锛圥2锛?,璇存槑应满足：鍗婂紑鐘舵€佹斁琛岃姹傜殑闂撮殧,,,,NO,MANUAL_REVIEW,至少一个受影响字段无法整字段安全转换，或完整源行不可读/不可定位，或存在复合断言
REQ-CF-00017,core-finance,docs/PRD-核心引擎.md,source_section;source_quote,5.1.3 鐔旀柇鍣ㄧ姸鎬佹満锛圥2锛?,#### 5.1.3 鐔旀柇鍣ㄧ姸鎬佹満锛圥2锛?,鍙傛暟应满足：绾у埆,,,,NO,MANUAL_REVIEW,至少一个受影响字段无法整字段安全转换，或完整源行不可读/不可定位，或存在复合断言
REQ-CF-00018,core-finance,docs/PRD-核心引擎.md,source_section;source_quote;atomic_assertion,5.1.3 鐔旀柇鍣ㄧ姸鎬佹満锛圥2锛?,#### 5.1.3 鐔旀柇鍣ㄧ姸鎬佹満锛圥2锛?,榛樿鍊?应满足：鐔旀柇瀵硅薄,,,,NO,MANUAL_REVIEW,至少一个受影响字段无法整字段安全转换，或完整源行不可读/不可定位，或存在复合断言
REQ-CF-00019,core-finance,docs/PRD-核心引擎.md,source_section;source_quote,5.1.3 鐔旀柇鍣ㄧ姸鎬佹満锛圥2锛?,#### 5.1.3 鐔旀柇鍣ㄧ姸鎬佹満锛圥2锛?,璇存槑应满足：褰卞搷鑼冨洿,,,,NO,MANUAL_REVIEW,至少一个受影响字段无法整字段安全转换，或完整源行不可读/不可定位，或存在复合断言
REQ-CF-00020,core-finance,docs/PRD-核心引擎.md,source_section;source_quote,5.1.3 鐔旀柇鍣ㄧ姸鎬佹満锛圥2锛?,#### 5.1.3 鐔旀柇鍣ㄧ姸鎬佹満锛圥2锛?,鍙傛暟应满足：Key 绾?,,,,NO,MANUAL_REVIEW,至少一个受影响字段无法整字段安全转换，或完整源行不可读/不可定位，或存在复合断言
REQ-CF-00021,core-finance,docs/PRD-核心引擎.md,source_section;source_quote;atomic_assertion,5.1.3 鐔旀柇鍣ㄧ姸鎬佹満锛圥2锛?,#### 5.1.3 鐔旀柇鍣ㄧ姸鎬佹満锛圥2锛?,榛樿鍊?应满足：鍗曚釜 API Key,,,,NO,MANUAL_REVIEW,至少一个受影响字段无法整字段安全转换，或完整源行不可读/不可定位，或存在复合断言
REQ-CF-00022,core-finance,docs/PRD-核心引擎.md,source_section;source_quote;atomic_assertion,5.1.3 鐔旀柇鍣ㄧ姸鎬佹満锛圥2锛?,#### 5.1.3 鐔旀柇鍣ㄧ姸鎬佹満锛圥2锛?,璇存槑应满足：璇?Key 琚Щ闄よ疆璇紝鍏朵粬 Key 姝ｅ父,,,,NO,MANUAL_REVIEW,至少一个受影响字段无法整字段安全转换，或完整源行不可读/不可定位，或存在复合断言
REQ-CF-00023,core-finance,docs/PRD-核心引擎.md,source_section;source_quote,5.1.3 鐔旀柇鍣ㄧ姸鎬佹満锛圥2锛?,#### 5.1.3 鐔旀柇鍣ㄧ姸鎬佹満锛圥2锛?,鍙傛暟应满足：渚涘簲鍟嗙骇,,,,NO,MANUAL_REVIEW,至少一个受影响字段无法整字段安全转换，或完整源行不可读/不可定位，或存在复合断言
REQ-CF-00024,core-finance,docs/PRD-核心引擎.md,source_section;source_quote;atomic_assertion,5.1.3 鐔旀柇鍣ㄧ姸鎬佹満锛圥2锛?,#### 5.1.3 鐔旀柇鍣ㄧ姸鎬佹満锛圥2锛?,榛樿鍊?应满足：鏁翠釜渚涘簲鍟?,,,,NO,MANUAL_REVIEW,至少一个受影响字段无法整字段安全转换，或完整源行不可读/不可定位，或存在复合断言
REQ-CF-00025,core-finance,docs/PRD-核心引擎.md,source_section;source_quote;atomic_assertion,5.1.3 鐔旀柇鍣ㄧ姸鎬佹満锛圥2锛?,#### 5.1.3 鐔旀柇鍣ㄧ姸鎬佹満锛圥2锛?,璇存槑应满足：鎵€鏈夎姹傚垏鎹㈠埌澶囩敤渚涘簲鍟?,,,,NO,MANUAL_REVIEW,至少一个受影响字段无法整字段安全转换，或完整源行不可读/不可定位，或存在复合断言
REQ-CF-00026,core-finance,docs/PRD-核心引擎.md,source_section;source_quote;atomic_assertion,5.1.3 鐔旀柇鍣ㄧ姸鎬佹満锛圥2锛?,#### 5.1.3 鐔旀柇鍣ㄧ姸鎬佹満锛圥2锛?,鍙傛暟应满足：妯″瀷绾?,,,,NO,MANUAL_REVIEW,至少一个受影响字段无法整字段安全转换，或完整源行不可读/不可定位，或存在复合断言
REQ-CF-00027,core-finance,docs/PRD-核心引擎.md,source_section;source_quote;atomic_assertion,5.1.3 鐔旀柇鍣ㄧ姸鎬佹満锛圥2锛?,#### 5.1.3 鐔旀柇鍣ㄧ姸鎬佹満锛圥2锛?,榛樿鍊?应满足：鐗瑰畾妯″瀷鐨勬墍鏈変緵搴斿晢,,,,NO,MANUAL_REVIEW,至少一个受影响字段无法整字段安全转换，或完整源行不可读/不可定位，或存在复合断言
REQ-CF-00028,core-finance,docs/PRD-核心引擎.md,source_section;source_quote,5.1.3 鐔旀柇鍣ㄧ姸鎬佹満锛圥2锛?,#### 5.1.3 鐔旀柇鍣ㄧ姸鎬佹満锛圥2锛?,璇存槑应满足：杩斿洖妯″瀷涓嶅彲鐢ㄩ敊璇?,,,,NO,MANUAL_REVIEW,至少一个受影响字段无法整字段安全转换，或完整源行不可读/不可定位，或存在复合断言
REQ-CF-00029,core-finance,docs/PRD-核心引擎.md,source_quote;atomic_assertion,5.2 璁¤垂涓庣粨绠楃簿鍖?,馃搸 **娣卞寲鍙傝€?*锛歔`docs/ref-5.2-billing.md`](ref-5.2-billing.md) 鈥?鍚叚灞傚畾浠蜂綋绯汇€佸疄鏃惰璐规祦绋嬶紙棰勬墸鈫掑閫€灏戣ˉ锛夈€丏rizzle Schema銆佽处鍗曞懆鏈熴€佽嚜鍔ㄥ璐︺€佷环鏍奸厤缃€佽璐瑰紓甯稿鐞?,馃搸 **娣卞寲鍙傝€?*锛歔`docs/ref-5.2-billing.md`](ref-5.2-billing.md) 鈥?鍚叚灞傚畾浠蜂綋绯汇€佸疄鏃惰璐规祦绋嬶紙棰勬墸鈫掑閫€灏戣ˉ锛夈€丏rizzle Schema銆佽处鍗曞懆鏈熴€佽嚜鍔ㄥ璐︺€佷环鏍奸厤缃€佽璐瑰紓甯稿鐞?,,158,,NO,MANUAL_REVIEW,至少一个受影响字段无法整字段安全转换，或完整源行不可读/不可定位，或存在复合断言
REQ-CF-00030,core-finance,docs/PRD-核心引擎.md,source_quote;atomic_assertion,5.2 璁¤垂涓庣粨绠楃簿鍖?,馃搸 **娣卞寲鍙傝€?*锛歔`docs/ref-4.4-finance.md`](ref-4.4-finance.md) 鈥?鍚环鏍煎紩鎿庡叚灞傚疄鐜般€佸疄鏃惰璐归摼璺€佸璐﹀紩鎿庛€佽处鍗?PDF 鐢熸垚,馃搸 **娣卞寲鍙傝€?*锛歔`docs/ref-4.4-finance.md`](ref-4.4-finance.md) 鈥?鍚环鏍煎紩鎿庡叚灞傚疄鐜般€佸疄鏃惰璐归摼璺€佸璐﹀紩鎿庛€佽处鍗?PDF 鐢熸垚,,158,,NO,MANUAL_REVIEW,至少一个受影响字段无法整字段安全转换，或完整源行不可读/不可定位，或存在复合断言
REQ-CF-00031,core-finance,docs/PRD-核心引擎.md,source_section;source_quote;atomic_assertion,5.2.1 价格层级与优先级,#### 5.2.1 价格层级与优先级,**价格层级定义**,164,164,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
REQ-CF-00032,core-finance,docs/PRD-核心引擎.md,source_section;source_quote;atomic_assertion,5.2.1 价格层级与优先级,#### 5.2.1 价格层级与优先级,灞傜骇应满足：L0,164,164,gb18030->utf8 x1,NO,MANUAL_REVIEW,至少一个受影响字段无法整字段安全转换，或完整源行不可读/不可定位，或存在复合断言
REQ-CF-00033,core-finance,docs/PRD-核心引擎.md,source_section;source_quote;atomic_assertion,5.2.1 价格层级与优先级,#### 5.2.1 价格层级与优先级,鍚嶇О应满足：渚涘簲鍟嗘垚鏈环,164,164,gb18030->utf8 x1,NO,MANUAL_REVIEW,至少一个受影响字段无法整字段安全转换，或完整源行不可读/不可定位，或存在复合断言
REQ-CF-00034,core-finance,docs/PRD-核心引擎.md,source_section;source_quote;atomic_assertion,5.2.1 价格层级与优先级,#### 5.2.1 价格层级与优先级,璇存槑应满足：涓婃父鍘熷浠锋牸,164,164,gb18030->utf8 x1,NO,MANUAL_REVIEW,至少一个受影响字段无法整字段安全转换，或完整源行不可读/不可定位，或存在复合断言
REQ-CF-00035,core-finance,docs/PRD-核心引擎.md,source_section;source_quote,5.2.1 价格层级与优先级,#### 5.2.1 价格层级与优先级,鍗曚环鏉ユ簮应满足：`vendor_models.input/output_price`,164,164,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
REQ-CF-00036,core-finance,docs/PRD-核心引擎.md,source_section;source_quote;atomic_assertion,5.2.1 价格层级与优先级,#### 5.2.1 价格层级与优先级,灞傜骇应满足：L1,164,164,gb18030->utf8 x1,NO,MANUAL_REVIEW,至少一个受影响字段无法整字段安全转换，或完整源行不可读/不可定位，或存在复合断言
REQ-CF-00037,core-finance,docs/PRD-核心引擎.md,source_section;source_quote;atomic_assertion,5.2.1 价格层级与优先级,#### 5.2.1 价格层级与优先级,鍚嶇О应满足：骞冲彴鏍囧噯浠?,164,164,gb18030->utf8 x1,NO,MANUAL_REVIEW,至少一个受影响字段无法整字段安全转换，或完整源行不可读/不可定位，或存在复合断言
REQ-CF-00038,core-finance,docs/PRD-核心引擎.md,source_section;source_quote,5.2.1 价格层级与优先级,#### 5.2.1 价格层级与优先级,璇存槑应满足：L0 脳 (1 + 鍏ㄥ眬鍔犱环鐜?,164,164,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
REQ-CF-00039,core-finance,docs/PRD-核心引擎.md,source_section;source_quote,5.2.1 价格层级与优先级,#### 5.2.1 价格层级与优先级,鍗曚环鏉ユ簮应满足：`site_configs.default_markup_rate`,164,164,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
REQ-CF-00040,core-finance,docs/PRD-核心引擎.md,source_section;source_quote;atomic_assertion,5.2.1 价格层级与优先级,#### 5.2.1 价格层级与优先级,灞傜骇应满足：L2,164,164,gb18030->utf8 x1,NO,MANUAL_REVIEW,至少一个受影响字段无法整字段安全转换，或完整源行不可读/不可定位，或存在复合断言
REQ-CF-00041,core-finance,docs/PRD-核心引擎.md,source_section;source_quote;atomic_assertion,5.2.1 价格层级与优先级,#### 5.2.1 价格层级与优先级,鍚嶇О应满足：妯″瀷瑕嗙洊浠?,164,164,gb18030->utf8 x1,NO,MANUAL_REVIEW,至少一个受影响字段无法整字段安全转换，或完整源行不可读/不可定位，或存在复合断言
REQ-CF-00042,core-finance,docs/PRD-核心引擎.md,source_section;source_quote;atomic_assertion,5.2.1 价格层级与优先级,#### 5.2.1 价格层级与优先级,璇存槑应满足：鐗瑰畾妯″瀷鐨勭嫭绔嬪敭浠?,164,164,gb18030->utf8 x1,NO,MANUAL_REVIEW,至少一个受影响字段无法整字段安全转换，或完整源行不可读/不可定位，或存在复合断言
REQ-CF-00043,core-finance,docs/PRD-核心引擎.md,source_section;source_quote,5.2.1 价格层级与优先级,#### 5.2.1 价格层级与优先级,鍗曚环鏉ユ簮应满足：`models.override_price`,164,164,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
