req_id,domain,source_path,atomic_assertion,markers,classification,review_status,review_note
REQ-CF-00708,core-finance,docs/PRD-整改R1-R4-人工上账与资金入账.md,触发条件应满足：同一无余额用户同时被两条路径入账,同时,CONDITION_SINGLE_REVIEW,OPEN,确认是否一个条件断言；若含多个独立动作/结果则拆分并建立 derived_from 关系。
REQ-CF-00972,core-finance,docs/PRD-整改R5-R7-资金风控.md,"4. **免审批的取舍（裁决项 B2）**：建议**取消""调增 <¥10,000 免审批""**（现状 `approvalLevel='none'` 提交即生效档废止），全部调增至少一级审批；同时提供**可选的白名单科目免审开关（默认关闭）**：",同时,COMPOUND_ACTION_REVIEW,OPEN,确认是否一个条件断言；若含多个独立动作/结果则拆分并建立 derived_from 关系。
REQ-CF-01355,core-finance,docs/PRD-整改R5-R7-资金风控.md,触发条件应满足：操作人维度与用户维度同时超限,同时,CONDITION_SINGLE_REVIEW,OPEN,确认是否一个条件断言；若含多个独立动作/结果则拆分并建立 derived_from 关系。
REQ-CF-01916,core-finance,docs/PRD-模型缓存定价与缓存计量.md,3. **生效范围（D-9 定稿）**：非流式响应，以及携带 usage 缓存字段的流式响应均适用。**流式注入范围**：`stream=true` 时对 **chat / messages / openai-compat** 三端点注入 `stream_options.include_usage=true`（responses 端点已有；anthropic 上游天然携带 usage，无需注入）；注入逻辑集中在 `buildUpstreamBody` 单点并预留渠道级开关。**计费时点与回滚**：沿用现有「预扣 → 流结束按最终 usage 结算（determineStreamBilling）」时序，无状态机改动；流超时/中断回滚时缓存字段恒 undefined，回滚口径不变。⚠️ 此为本期对 `ref-5.2 §3.2.1`「流式场景沿用全价计费」的**有意扩展**（方案既定决策），属行为变更点，见第 10 节。,以及,COMPOUND_ACTION_REVIEW,OPEN,确认是否一个条件断言；若含多个独立动作/结果则拆分并建立 derived_from 关系。
REQ-CF-01999,core-finance,docs/PRD-模型缓存定价与缓存计量.md,"精度口径已按 **D-1 定稿**：存储/计算 numeric(18,8) + 输出 toFixed(8) + 展示 toFixed(2)；同时修订 `ref-5.2 §3.1`（原""6 位""）与 `§8.2`（原""4 位""）三处不一致口径（见第 10.6 节）。",同时,COMPOUND_ACTION_REVIEW,OPEN,确认是否一个条件断言；若含多个独立动作/结果则拆分并建立 derived_from 关系。
REQ-CF-03098,core-finance,docs/SPEC-§5-核心引擎.md,触发条件应满足：同一用户的多条 API 调用同时到达并触发扣款,同时,CONDITION_SINGLE_REVIEW,OPEN,确认是否一个条件断言；若含多个独立动作/结果则拆分并建立 derived_from 关系。
REQ-CF-03109,core-finance,docs/SPEC-§5-核心引擎.md,场景应满足：限流与熔断同时触发,同时,CONDITION_SINGLE_REVIEW,OPEN,确认是否一个条件断言；若含多个独立动作/结果则拆分并建立 derived_from 关系。
REQ-CF-03110,core-finance,docs/SPEC-§5-核心引擎.md,触发条件应满足：请求同时被限流引擎拒绝和路由熔断器阻断,同时,CONDITION_SINGLE_REVIEW,OPEN,确认是否一个条件断言；若含多个独立动作/结果则拆分并建立 derived_from 关系。
REQ-CF-03111,core-finance,docs/SPEC-§5-核心引擎.md,预期行为应满足：以限流结果为优先返回（429 Too Many Requests），同时熔断器状态更新不受影响；避免重复计费和重复告警,同时,COMPOUND_ACTION_REVIEW,OPEN,确认是否一个条件断言；若含多个独立动作/结果则拆分并建立 derived_from 关系。
REQ-CF-03652,core-finance,docs/ref-5.1-routing.md,触发条件应满足：两个并发请求同时触发候选升降级逻辑,同时,CONDITION_SINGLE_REVIEW,OPEN,确认是否一个条件断言；若含多个独立动作/结果则拆分并建立 derived_from 关系。
REQ-CF-04354,core-finance,docs/ref-5.4-alert-rules.md,阈值应满足：≥ 3 个同时异常,同时,COMPOUND_ACTION_REVIEW,OPEN,确认是否一个条件断言；若含多个独立动作/结果则拆分并建立 derived_from 关系。
REQ-CF-04640,core-finance,docs/ref-4.4-finance.md,触发条件应满足：多个不相关的消费操作同时并发扣减同一账户余额,同时,CONDITION_SINGLE_REVIEW,OPEN,确认是否一个条件断言；若含多个独立动作/结果则拆分并建立 derived_from 关系。
REQ-ADMINPORTAL-00990,admin-portal,docs/SPEC-§4-管理后台.md,"需求规定：ADMIN-005 | 多管理员并发编辑同一记录 | 两名管理员同时打开并编辑同一条配置/用户记录 | 使用乐观锁（版本号）：后提交者检测到版本冲突，提示""记录已被修改，请刷新后重试""，保留双方修改记录在操作日志中 | 该记录 | P0",同时,COMPOUND_ACTION_REVIEW,OPEN,确认是否一个条件断言；若含多个独立动作/结果则拆分并建立 derived_from 关系。
REQ-ADMINPORTAL-00991,admin-portal,docs/SPEC-§4-管理后台.md,需求规定：ADMIN-006 | 数据生命周期管理中并发删除 | 数据清理任务与正在进行的后台查询同时操作同一数据 | 软删除优先：清理任务先标记删除（`deleted_at`）+ 延迟 24h 物理删除,同时,COMPOUND_ACTION_REVIEW,OPEN,确认是否一个条件断言；若含多个独立动作/结果则拆分并建立 derived_from 关系。
REQ-ADMINPORTAL-01109,customer-support,docs/SPEC-§10-客服支撑模块.md,需求规定：- 同时处理多会话,同时,COMPOUND_ACTION_REVIEW,OPEN,确认是否一个条件断言；若含多个独立动作/结果则拆分并建立 derived_from 关系。
REQ-ADMINPORTAL-01140,customer-support,docs/SPEC-§10-客服支撑模块.md,"需求规定：CS-001 | 多个客服同时接待同一用户 | 同一用户被多个客服同时分配或主动接入 | 上一个客服的会话保持活跃，新接入的客服收到""该用户已有进行中会话""提示",同时,COMPOUND_ACTION_REVIEW,OPEN,确认是否一个条件断言；若含多个独立动作/结果则拆分并建立 derived_from 关系。
REQ-ADMINPORTAL-01150,customer-support,docs/SPEC-§10-客服支撑模块.md,需求规定：CS-005 | 帮助中心页面并发高峰 | 大量用户同时访问帮助中心（如故障公告后） | CDN 缓存热门页面（TTL 3600s）,同时,CONDITION_SINGLE_REVIEW,OPEN,确认是否一个条件断言；若含多个独立动作/结果则拆分并建立 derived_from 关系。
REQ-ADMINPORTAL-01165,customer-support,docs/SPEC-§10-客服支撑模块.md,需求规定：多客服同时接待 | 提示已有会话 + 接管机制 | 操作提示,同时,COMPOUND_ACTION_REVIEW,OPEN,确认是否一个条件断言；若含多个独立动作/结果则拆分并建立 derived_from 关系。
REQ-ADMINPORTAL-01203,system-admin,docs/SPEC-§12-系统管理员支撑.md,需求规定：- **故障关联分析**：当多个服务同时异常时，标注可能关联,同时,COMPOUND_ACTION_REVIEW,OPEN,确认是否一个条件断言；若含多个独立动作/结果则拆分并建立 derived_from 关系。
REQ-ADMINPORTAL-01321,admin-portal,docs/SPEC-§13-数据迁移方案.md,需求规定：MIG-006 | 迁移版本号冲突 | 在分布式环境中两个节点同时执行了不同的迁移版本 | 以最先提交的迁移版本为准，后续冲突版本打回并提示需重新编号,同时,COMPOUND_ACTION_REVIEW,OPEN,确认是否一个条件断言；若含多个独立动作/结果则拆分并建立 derived_from 关系。
REQ-ADMINPORTAL-01324,admin-portal,docs/SPEC-§13-数据迁移方案.md,"需求规定：MIG-009 | 增量迁移冲突-源目标冲突 | 增量迁移期间源端和目标端同时对同一条记录进行修改 | 以目标端版本为基准，冲突记录标记为""手动修复""并通知管理员介入",同时,CONDITION_SINGLE_REVIEW,OPEN,确认是否一个条件断言；若含多个独立动作/结果则拆分并建立 derived_from 关系。
REQ-ADMINPORTAL-01645,customer-support,docs/SPEC-§28-智能客服与测试工具.md,需求规定：AI-005 | 测试任务并发限制 | 大量测试任务同时运行导致系统资源耗尽 | 测试任务设置最大并发数（默认 10 个）,同时,CONDITION_SINGLE_REVIEW,OPEN,确认是否一个条件断言；若含多个独立动作/结果则拆分并建立 derived_from 关系。
REQ-ADMINPORTAL-01647,customer-support,docs/SPEC-§28-智能客服与测试工具.md,需求规定：单用户最大同时运行 3 个测试 | 测试工具 | P1,同时,CONDITION_SINGLE_REVIEW,OPEN,确认是否一个条件断言；若含多个独立动作/结果则拆分并建立 derived_from 关系。
REQ-ADMINPORTAL-01715,authorization,docs/SPEC-§30-权限管理.md,"需求规定：PERM-004 | 权限模板冲突 | 用户同时被分配了多个权限模板，模板间存在权限冲突 | 权限合并遵循""取并集""原则：只要任一模板授予了某权限，用户即拥有该权限",同时,CONDITION_SINGLE_REVIEW,OPEN,确认是否一个条件断言；若含多个独立动作/结果则拆分并建立 derived_from 关系。
