req_id,domain,source_path,bad_fields,recovered_section,recovered_quote,recovered_assertion,quote_source_lines,section_source_lines,conversion,compound_after_recovery,status,basis,source_section_context,source_quote_context,section_check,quote_check,assertion_check,format_risk_check,review_decision,review_notes
REQ-ADMINPORTAL-00707,integrations-sso,docs/PRD-第三方集成.md,source_section,16.3 短信服务集成,| 模块 | 说明 |,需求规定：妯″潡 | 璇存槑,21;60;70,58,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,58: ### 16.3 鐭俊鏈嶅姟闆嗘垚,"21: | 妯″潡 | 璇存槑 |
60: | 妯″潡 | 璇存槑 |
70: | 妯″潡 | 璇存槑 |",PENDING,PENDING,PENDING,PENDING,PENDING,
REQ-ADMINPORTAL-00730,integrations-sso,docs/PRD-第三方集成.md,source_section,16.7 前端变更,| 页面 | 变更 |,需求规定：椤甸潰 | 鍙樻洿,99,97,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,97: #### 16.7 鍓嶇鍙樻洿,99: | 椤甸潰 | 鍙樻洿 |,PENDING,PENDING,PENDING,PENDING,PENDING,
REQ-ADMINPORTAL-02873,integrations-sso,docs/PRD-第三方集成.md,source_section;source_quote,#### 16.7 前端变更,#### 16.7 前端变更,该需求域必须单独定义并验证“输入”维度。,97,97,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,97: #### 16.7 鍓嶇鍙樻洿,97: #### 16.7 鍓嶇鍙樻洿,PENDING,PENDING,PENDING,PENDING,PENDING,
REQ-ADMINPORTAL-02874,integrations-sso,docs/PRD-第三方集成.md,source_section;source_quote,#### 16.7 前端变更,#### 16.7 前端变更,该需求域必须单独定义并验证“前置”维度。,97,97,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,97: #### 16.7 鍓嶇鍙樻洿,97: #### 16.7 鍓嶇鍙樻洿,PENDING,PENDING,PENDING,PENDING,PENDING,
REQ-ADMINPORTAL-02875,integrations-sso,docs/PRD-第三方集成.md,source_section;source_quote,#### 16.7 前端变更,#### 16.7 前端变更,该需求域必须单独定义并验证“角色”维度。,97,97,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,97: #### 16.7 鍓嶇鍙樻洿,97: #### 16.7 鍓嶇鍙樻洿,PENDING,PENDING,PENDING,PENDING,PENDING,
REQ-ADMINPORTAL-02876,integrations-sso,docs/PRD-第三方集成.md,source_section;source_quote,#### 16.7 前端变更,#### 16.7 前端变更,该需求域必须单独定义并验证“权限”维度。,97,97,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,97: #### 16.7 鍓嶇鍙樻洿,97: #### 16.7 鍓嶇鍙樻洿,PENDING,PENDING,PENDING,PENDING,PENDING,
REQ-ADMINPORTAL-02877,integrations-sso,docs/PRD-第三方集成.md,source_section;source_quote,#### 16.7 前端变更,#### 16.7 前端变更,该需求域必须单独定义并验证“状态”维度。,97,97,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,97: #### 16.7 鍓嶇鍙樻洿,97: #### 16.7 鍓嶇鍙樻洿,PENDING,PENDING,PENDING,PENDING,PENDING,
REQ-ADMINPORTAL-02878,integrations-sso,docs/PRD-第三方集成.md,source_section;source_quote,#### 16.7 前端变更,#### 16.7 前端变更,该需求域必须单独定义并验证“正常”维度。,97,97,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,97: #### 16.7 鍓嶇鍙樻洿,97: #### 16.7 鍓嶇鍙樻洿,PENDING,PENDING,PENDING,PENDING,PENDING,
REQ-ADMINPORTAL-02879,integrations-sso,docs/PRD-第三方集成.md,source_section;source_quote,#### 16.7 前端变更,#### 16.7 前端变更,该需求域必须单独定义并验证“边界”维度。,97,97,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,97: #### 16.7 鍓嶇鍙樻洿,97: #### 16.7 鍓嶇鍙樻洿,PENDING,PENDING,PENDING,PENDING,PENDING,
REQ-ADMINPORTAL-02880,integrations-sso,docs/PRD-第三方集成.md,source_section;source_quote,#### 16.7 前端变更,#### 16.7 前端变更,该需求域必须单独定义并验证“异常”维度。,97,97,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,97: #### 16.7 鍓嶇鍙樻洿,97: #### 16.7 鍓嶇鍙樻洿,PENDING,PENDING,PENDING,PENDING,PENDING,
REQ-ADMINPORTAL-02881,integrations-sso,docs/PRD-第三方集成.md,source_section;source_quote,#### 16.7 前端变更,#### 16.7 前端变更,该需求域必须单独定义并验证“并发”维度。,97,97,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,97: #### 16.7 鍓嶇鍙樻洿,97: #### 16.7 鍓嶇鍙樻洿,PENDING,PENDING,PENDING,PENDING,PENDING,
REQ-ADMINPORTAL-02882,integrations-sso,docs/PRD-第三方集成.md,source_section;source_quote,#### 16.7 前端变更,#### 16.7 前端变更,该需求域必须单独定义并验证“幂等”维度。,97,97,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,97: #### 16.7 鍓嶇鍙樻洿,97: #### 16.7 鍓嶇鍙樻洿,PENDING,PENDING,PENDING,PENDING,PENDING,
